user	id	name	n_total	n_matched	followers
spotify	37i9dQZF1DX9CrmarDZuOr	Classical World: Sweden	30	11	1070
spotify	37i9dQZF1DX9G9wwzwWL2k	Epic Classical	100	67	359349
spotify	37i9dQZF1DX9OZisIoJQhG	Morning Classical	50	37	18306
spotify	37i9dQZF1DX9kBfhl09Oll	Classical World: Brazil	30	8	1212
spotify	37i9dQZF1DX9uCW6Pqg2WK	Classical World: Germany	40	29	1155
spotify	37i9dQZF1DXaQeL9mwtfsG	70 After 70: Creativity & Longevity	70	34	1189
spotify	37i9dQZF1DXaSipEWiHbyL	Classical World: USA	80	47	2161
spotify	37i9dQZF1DXabrEiRjQMgs	Classical Dance Music: Ballet & Beyond	50	36	104224
spotify	37i9dQZF1DXah8e1pvF5oE	Piano 100: Spotify Picks	100	61	95564
spotify	37i9dQZF1DXajUXy2f1Dsi	Top Latin Classical	46	18	7795
spotify	37i9dQZF1DXbaZdHeCwl9C	Early Classical	50	31	15272
spotify	37i9dQZF1DXbpxlOC1L1Gi	Classical World: France	50	33	3022
spotify	37i9dQZF1DXbuvjwsGcSq1	Classical Music Explained: Bernstein's Music Lectures & More	100	32	12213
spotify	37i9dQZF1DXc26kXinU9Fn	Jennifer Higdon - Composer Weekly #071	30	5	239
spotify	37i9dQZF1DXcN1fAVSf7CR	Top Classical	50	39	161620
spotify	37i9dQZF1DXcbK8HZQNxAq	Indie Classical: Composed In 21st Century	50	6	74255
spotify	37i9dQZF1DXdUer5rrvuGS	Classical World: Japan	50	7	4909
spotify	37i9dQZF1DXddGd6mP5X2a	Orchestra 100: Spotify Picks	100	76	32848
sonyclassicalbenelux	76kScrK11CldOFwS2AOHmk	Klassieke Lente	53	32	1939
TOTAL	TOTAL	TOTAL	4136	1960	n.a.
