channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,13,2017-04-17T12:29:35+02:00,00:00:48:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Sinfonia (Acte I) (instrumental),Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,14,2017-04-17T12:30:23+02:00,00:01:54:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Superbo è l'uom (Acte I Sc 5) Neptune,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,15,2017-04-17T12:32:17+02:00,00:04:21:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Gran Dio de' salsi flutti (Acte I Sc 5) Neptune et Jupiter,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,16,2017-04-17T12:36:38+02:00,00:02:10:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : In questo basso mondo (Acte I Sc 6) Phéacien et Neptune,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,17,2017-04-17T12:38:48+02:00,00:04:56:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Dormo ancora (Acte I Sc 7) Ulysse,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,18,2017-04-17T12:43:44+02:00,00:07:51:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Cara e lieta (Acte I Sc 8) Minerve er Ulysse,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,19,2017-04-17T12:51:35+02:00,00:01:55:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Io vidi per vendetta (Acte I Sc 8) Minerve,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,20,2017-04-17T12:53:30+02:00,00:01:07:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Eccomiaggia Dea (Acte I Sc 8) Ulysse et Minerve,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,21,2017-04-17T12:54:37+02:00,00:03:40:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Tu d'Aretusa al fonte (Acte I Sc 9) Ulysse et Minerve,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,22,2017-04-17T12:58:17+02:00,00:03:25:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Donate un giorno o Dei (Acte I Sc 10) Pénélope et Mélantho,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,23,2017-04-17T13:01:42+02:00,00:04:13:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Ama dunque che d'Amore (Acte I Sc 10) Mélantho et Pénélope,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,24,2017-04-17T13:05:55+02:00,00:01:47:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : O come mal si salva (Acte I Sc 11) Eumée,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,25,2017-04-17T13:07:42+02:00,00:01:49:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Pastor d'armenti puo (Acte I Sc 12) Iro et Eumée,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
