channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
401,3,2017-09-11T00:00:09+02:00,00:02:24:00,Leo Delibes,Coppélia (La fille aux yeux d'émail) : Valse (Acte I),Léo Delibes : Coppélia,1994-01-01,,Musique symphonique,Vasko Vassiliev;Anton Kholodenko;Orchestre De L'Opera De Lyon;Kent Nagano,Violon;Alto (instrument);Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/550348ea-82c1-3823-8f89-036fe612b4ea
401,4,2017-09-11T00:02:33+02:00,00:05:52:00,Francis Poulenc,Les animaux modeles : La cigale et la fourmi,Les animaux modeles et Sinfonietta,1997-01-01,,Musique symphonique,Orchestre Philharmonique De Luxembourg;Jonathan Darlington,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/10cdb8f9-8702-3c5e-9dde-94657bd1eaeb,0.95,http://data.doremus.org/artist/b703908f-b682-36e1-9499-28e9268bf533
401,5,2017-09-11T00:08:25+02:00,00:02:24:00,Camille Saint Saens,Le carnaval des animaux : Aquarium - pour 2 pianos 2 violons alto violoncelle contrebasse flûte traversière clarinette harmonica et xylophone,Camille Saint-Saens : Le carnaval des animaux et oeuvres de chambre,2003-01-01,,Musique de chambre,Renaud Capucon;Gautier Capucon;Frank Braley;Michel Dalberto;Emmanuel Pahud;Paul Meyer,Violon;Violoncelle;Piano;Piano;Flûte traversière;Clarinette,http://data.doremus.org/expression/6caa458f-291b-36b8-af8e-d665e3a05476,1.00,http://data.doremus.org/artist/a4e8f64d-3411-3eb4-8e09-59e24bc26bf3
401,6,2017-09-11T00:10:49+02:00,00:03:34:00,Alfred Schnittke,Suite dans la style ancien : Menuet,Modern portraits,1990-01-01,,Musique symphonique,Virtuoses De Moscou;Vladimir Spivakov,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/2fe8887e-bf27-352f-b756-6927beda3b99
401,7,2017-09-11T00:14:23+02:00,00:02:09:00,Hector Berlioz,Les nuits d'été op 7 : Villanelle,Mélodies : 1ère partie / Vol.7,2015-01-01,,Musique chorale et vocale,Jose Van Dam;Jean-Philippe Collard,Baryton-basse (voix);Piano,http://data.doremus.org/expression/ebf02dd1-e490-3402-92ce-517b7d25fd71,1.00,http://data.doremus.org/artist/69896139-4b18-30ff-bc65-7c14e18f1707
401,8,2017-09-11T00:16:32+02:00,00:04:21:00,Emmanuel Chabrier,Suite pastorale : Danse villageoise,Paul Paray dirige Chabrier et Roussel,1991-01-01,,Musique symphonique,Orchestre Symphonique De Detroit;Paul Paray,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/2ddd9a8c-25e5-3b6b-9a7a-692e2c5955ce,1.00,http://data.doremus.org/artist/3c178aab-26f9-359b-bcd3-36f5ff6e39e0
401,10,2017-09-11T00:21:05+02:00,00:04:20:00,Felix Mendelssohn,Le songe d'une nuit d'été op 61 : Allegro appassionato,Felix Mendelssohn :Le songe d'une nuit d'été,2016-01-01,,Musique symphonique,Ceri-Lyn Cissone;Alexander Knox;Frankie Wakefield;Orchestre Symphonique De Londres;John Eliot Gardiner,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/ebd4bc5e-ff5d-335d-9099-25ab16ee55af,1.00,http://data.doremus.org/artist/c02d29d9-0ab1-376e-a104-ae6184064092
401,11,2017-09-11T00:25:25+02:00,00:03:14:00,Robert Schumann,Pièces dans le style populaire op 102 - version pour violoncelle et piano / intégrale : 1. Mit Humor,Oeuvres pour violoncelle et piano,,,Musique de chambre,Jeremie Maillard;Mara Dobresco,Violoncelle;Piano,http://data.doremus.org/expression/261b9295-1ef5-38bb-8734-688c083e0c08,0.97,http://data.doremus.org/artist/f753314d-87a7-32a9-9218-da98ae4f9812
401,12,2017-09-11T00:28:39+02:00,00:02:25:00,Manuel De Falla,Suite populaire espagnole pour violon et piano : El paño moruno,Suites et Fantasies,2017-01-01,,Musique de chambre,Joo Yeon Sir;Irina Andrievsky,Violon;Piano,,,http://data.doremus.org/artist/5733cce8-28b7-3099-a2b2-a5c1c3333f17
401,13,2017-09-11T00:31:04+02:00,00:01:26:00,Alexandre Borodine,Le prince Igor : Les danses polovtsiennes : Danse des hommes - pour orchestre,Rimski-Korsakov et Borodine : Oeuvres symphoniques,2004-01-01,,Musique symphonique,Anima Eterna;Jos Van Immerseel,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/fc6c2955-f2e2-3a81-8a14-a32d41b52549,1.00,http://data.doremus.org/artist/939059ae-d3de-3126-8721-164df4aac0d6
