channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
405,3,2017-10-09T00:00:15+02:00,00:06:26:00,,Ma muse m'abuse,Morton's foot,2003-01-01,,Jazz,Rabih Abou-Khalil,Oud (luth),,,
405,4,2017-10-09T00:06:41+02:00,00:05:51:00,,Muse,Duologue,2008-01-01,,Jazz,Yamamoto Eri,,,,
405,5,2017-10-09T00:12:32+02:00,00:06:17:00,,Euterpe,Sirvent Escué Sergi/9 muses,2004-01-01,,Jazz,Sergi Sirvent Escue;Silvia Perz Cruz;Divers,Piano Piano électrique Trompette Voix Percussions;Voix,,,
405,6,2017-10-09T00:18:49+02:00,00:03:09:00,,Nel parco (Maggio musicale),A master's diary,2012-01-01,,Jazz,Edward Simon,Piano,,,
405,8,2017-10-09T00:22:21+02:00,00:03:58:00,,Music in the air,A good git-together,2006-01-01,,Jazz,Jon Hendricks;Divers,,,,
405,9,2017-10-09T00:26:19+02:00,00:05:38:00,,My muse,My muse,2012-01-01,,Jazz,George Cables;Essiet Essiet;Victor Lewis,Piano;Basse;Batterie,,,
405,10,2017-10-09T00:31:57+02:00,00:05:27:00,John Hollenbeck,The music of life,A blessing,2005-01-01,,Jazz,John Hollenbeck Large Ensemble;John Hollenbeck;Theo Bleckmann;Divers,Chant;Batterie;Chant Voix,,,http://data.doremus.org/artist/0f6f5ad5-30ba-3eb4-b90b-ef33a5fbaf9d
405,11,2017-10-09T00:37:24+02:00,00:06:25:00,,La muse de la danse,Live at maioun do bebop,2003-01-01,,Jazz,Pacific Trio;Fred D'Oelnitz;Francois Gallix;Yoann Serra,Piano;Contrebasse;Batterie,,,
405,12,2017-10-09T00:43:49+02:00,00:06:16:00,,Esprit de muse,Now this,2014-01-01,,Jazz,Gary Peacock Trio;Gary Peacock;Marc Copland;Joey Baron,Contrebasse;Piano;Batterie,,,
405,13,2017-10-09T00:50:05+02:00,00:08:13:00,,The Music Is The Magic,A spirit free : Abbey Lincoln songbook,,,Jazz,Kendra Shank;Divers,Voix,,,
405,15,2017-10-09T00:58:29+02:00,00:10:42:00,,Ma muse s'amuse,Masters,1987-01-01,,Jazz,Rene Urtreger;Niels Henning Orsted-Pedersen;Christian Escoude;Andre Ceccarelli,Piano;Contrebasse;Guitare électrique;Batterie,,,
405,16,2017-10-09T01:09:11+02:00,00:11:25:00,,Talia,Sirvent Escué Sergi/9 muses,2004-01-01,,Jazz,Sergi Sirvent Escue;Divers,Piano,,,
405,17,2017-10-09T01:20:36+02:00,00:03:14:00,,El teatro de los faranduleros (farandulero's theatre),Biomasa,2008-01-01,,Jazz,Planeta Imaginario,,,,
405,18,2017-10-09T01:23:50+02:00,00:04:05:00,,Voyage dans un theatre de poupees,Entre 2 mondes,1995-01-01,,Jazz,Francois Du Bois;Florence Lafitte,Marimba (xylophone);Piano,,,
405,20,2017-10-09T01:27:58+02:00,00:13:15:00,,Comedia,Double live: Aka balkan moon - Alefba,,,Musique du monde,Aka Moon;Fabrizio Cassol;Michel Hatzigeorgiou;Stephane Galland;Magik Malik;Mustafa Said;Amir Elsaffar;Khaled Alhafez;Khaled Aljaramani;Tcha Limberger;Sheikh Ehab Younes;Misirli Ahmet;Emmanuel Bailly,Saxophone alto;Basse électrique;Batterie;Flûte Chant;Oud (luth) Chant;Trompette Santur (cithare) Chant;Chant;Oud (luth) Chant;Violon Chant;Chant;Darabukka (tambour);Guitare,,,
405,21,2017-10-09T01:41:13+02:00,00:03:22:00,,Pagan lullaby,Shadow theater,2013-01-01,,Jazz,Tigran Hamasyan,,,,
405,22,2017-10-09T01:44:35+02:00,00:05:26:00,,Théâtre des singes,Now,,,Jazz,Didier Malherbe;Loy Ehrlich;Steve Shehan,,,,
405,23,2017-10-09T01:50:01+02:00,00:06:27:00,,Theatre of magic,Pinball,2014-01-01,,Jazz,Marius Nest;Jim Hart;Petter Eldh;Anton Eger,,,,
405,24,2017-10-09T01:56:28+02:00,00:03:37:00,,Prince of peace,Anything but grey,,,Jazz,Palle Mikkelborg,,,,
405,26,2017-10-09T02:00:14+02:00,00:05:26:00,,Melpomene,Sirvent Escué Sergi/9 muses,2004-01-01,,Jazz,Sergi Sirvent Escue;Silvia Perz Cruz;Divers,Piano Piano électrique Trompette Voix Percussions;Voix,,,
405,27,2017-10-09T02:05:40+02:00,00:04:29:00,,And the angels sing,American all stars in Paris,2005-01-01,,Jazz,Sarah Morrow,Trombone,,,
405,28,2017-10-09T02:10:09+02:00,00:01:59:00,,Sing chillun sing,A fresh viewpoint and Muriel Winston,1975-01-01,,Jazz,Muriel Winston;Stanley Cowell;Bill Lee;Billy Higgins;Clifford Jordan,Voix Piano;Piano;Contrebasse;Batterie Percussions;Flûte traversière,,,
405,29,2017-10-09T02:12:08+02:00,00:09:14:00,,Muse suite,Scheme for thought,2007-01-01,,Jazz,Elan Mehler Quartet;Elan Mehler;Andrew Zimmerman;David Moore;Tod Hedrick,Piano;Saxophone ténor;Piano;Contrebasse,,,
405,30,2017-10-09T02:21:22+02:00,00:02:51:00,,I gotta right to sing the blues,Alone,1989-01-01,,Jazz,Judy Garland;Gordon Jenkins,Chef d'orchestre,,,
405,31,2017-10-09T02:24:13+02:00,00:06:31:00,,Sing me softly of the blues,After the rain,1995-01-01,,Jazz,John Mac Laughlin;Joey De Francesco;Elvin Jones,Guitare électrique;Orgue;Batterie,,,
405,33,2017-10-09T02:30:50+02:00,00:03:34:00,,Sing sing sing (with a swing),Anita O'Day sings the winners,1990-01-01,,Jazz,Anita O' Day,,,,
405,34,2017-10-09T02:34:24+02:00,00:07:13:00,,Sing joy spring,Anthologie / Down in birdland,1992-01-01,,Jazz,The Manhattan Transfer,,,,
405,35,2017-10-09T02:41:37+02:00,00:04:44:00,,Sophisticated lady,Lady sings the blues,,,Jazz,Billie Holiday,,,,
405,36,2017-10-09T02:46:21+02:00,00:02:03:00,,Singin' in the rain,At last - The lost radio recordings,,,Jazz,Peggy Lee,,,,
405,37,2017-10-09T02:48:24+02:00,00:09:11:00,,Blue muse,Now is another time,2003-01-01,,Jazz,David Murray Latin Big Band,,,,
405,38,2017-10-09T02:57:35+02:00,00:05:25:00,,These Foolish Things,Helen Humes and the Muse all stars,1979-01-01,,Jazz,Helen Humes & The Muse All Stars;Helen Humes;Arnett Cobb;Gerald Wiggins;George Duvivier;Ronnie Cole;Lyle Atkinson;Buddy Tate;Eddie Vinson,Saxophone ténor;Piano;Contrebasse;Batterie;Contrebasse;Saxophone;Saxophone alto,,,
