channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,3,2017-02-06T12:00:04+01:00,00:05:44:00,,Love calls you by your name,Songs of love and hate (remastered + expanded),2007-01-01,,Pop-Rock et autres,Leonard Cohen,,,,
407,4,2017-02-06T12:05:48+01:00,00:06:53:00,,Hallelujah,Grace [legacy edition],1994-01-01,,Pop-Rock et autres,Jeff Buckley,,,,
407,5,2017-02-06T12:12:41+01:00,00:06:01:00,Leos Janacek,Quatuor à cordes n°2 JW VII:13 (Lettres intimes) : Adagio,Lettres intimes,2017-01-01,,Musique de chambre,Quatuor Voce;Sarah Dayan;Cecile Roubin;Guillaume Becker;Lydia Shelley,Violon;Violon;Alto (instrument);Violoncelle,http://data.doremus.org/expression/d13829bd-1a17-37bd-adc1-b569eb3c1193,0.84,http://data.doremus.org/artist/4385ce9c-1fe2-3b59-9df0-9ac506d9ab43
407,6,2017-02-06T12:18:42+01:00,00:02:39:00,,Monk suite : crepuscule with Nellie,Monk suite,1985-01-01,,Jazz,Ron Carter;Kronos Quartet,Basse;Orchestre,,,
407,8,2017-02-06T12:21:24+01:00,00:06:14:00,Astor Piazzolla,Five tango sensations : Loving,Kronos quartet and Astor Piazzolla/Five tango sensations,1991-01-01,,Musique contemporaine,Quatuor Kronos;David Harrington;John Sherba;Hank Dutt;Joan Jeanrenaud;Astor Piazzolla,Violon;Violon;Alto (instrument);Violoncelle;Bandonéon,http://data.doremus.org/expression/86c9751c-64e7-3b7b-ada8-6c904329e62a,0.81,http://data.doremus.org/artist/36b10122-ef50-3df3-8bfe-61bb79ddec4f
407,9,2017-02-06T12:27:38+01:00,00:02:17:00,Joe Hisaishi,Ever Love,Bof / Hana-bi,,,Musique de film,Joe Hisaishi,Piano,,,
407,10,2017-02-06T12:29:55+01:00,00:02:33:00,Joe Hisaishi,Tenderness,Bof / Hana-bi,,,Musique de film,Joe Hisaishi,Piano,,,
407,11,2017-02-06T12:32:28+01:00,00:04:25:00,James Horner,Wallace courts murron,Braveheart,1995-01-01,,Musique de film,Orchestre Symphonique De Londres;James Horner,Orchestre;Chef d'orchestre,,,
407,12,2017-02-06T12:36:53+01:00,00:06:33:00,James Horner,The secret wedding,Braveheart,1995-01-01,,Musique de film,Orchestre Symphonique De Londres;James Horner,Orchestre;Chef d'orchestre,,,
407,14,2017-02-06T12:43:31+01:00,00:17:09:00,Richard Wagner;Orchestre Symphonique De New York,Siegfried-Idyll WWV 103 - version originale de chambre,Richard Wagner : Das Liebesmahl der Apostel et Siegfried Idyll,2014-01-01,,Musique religieuse & sacrée,Pierre Boulez,Chef d'orchestre,,,
407,16,2017-02-06T13:00:43+01:00,00:04:17:00,Franz Liszt,Consolation nº3 en Re Bemol Maj pour piano,Recital Horowitz,,,Musique de chambre,Vladimir Horowitz,Piano,http://data.doremus.org/expression/af0239b3-10a9-3efd-8510-44c1594bffec,0.95,http://data.doremus.org/artist/aabcd2ee-ac9b-30f2-8096-e9de8b3c7a81
407,17,2017-02-06T13:05:00+01:00,00:04:45:00,,Love and hard times (with Brad Mehldau),Winter in New York,2014-01-01,,Variété francophone,Renee Fleming;Brad Mehldau,,,,
407,18,2017-02-06T13:09:45+01:00,00:04:13:00,,Central park serenade (with Gregory Porter),Winter in New York,2014-01-01,,Variété francophone,Renee Fleming;Gregory Porter,,,,
407,20,2017-02-06T13:14:03+01:00,00:02:43:00,,The girl from Ipanema,My Favorite Things,1990-01-01,,Pop-Rock et autres,David Moss,Guitare,,,
407,21,2017-02-06T13:16:46+01:00,00:03:50:00,,Samba e amore,Per un pugno di samba,1970-01-01,,Musique du monde,Chico Buarque;Ennio Morricone,Voix;Chef d'orchestre,,,
407,22,2017-02-06T13:20:36+01:00,00:04:29:00,Serge Gainsbourg,Je t'aime... Moi non plus,Mister melody,,,Variété francophone,Jane Birkin;Serge Gainsbourg,,http://data.doremus.org/expression/3f1bd955-6f2d-3bf1-85a4-eae8797bf3d5,0.88,http://data.doremus.org/artist/daec81ba-a882-3bc1-83c7-b6cee470ffc2
407,23,2017-02-06T13:25:05+01:00,00:02:35:00,Serge Gainsbourg,Les sucettes,Mister melody,,,Variété francophone,France Gall,,http://data.doremus.org/expression/8c340b15-ab75-393a-b2f7-aeaec9fd7246,1.00,http://data.doremus.org/artist/daec81ba-a882-3bc1-83c7-b6cee470ffc2
407,24,2017-02-06T13:27:40+01:00,00:02:01:00,Serge Gainsbourg,La recette de l'amour fou,Mister melody,2006-01-01,,Variété francophone,Juliette Greco,,,,http://data.doremus.org/artist/daec81ba-a882-3bc1-83c7-b6cee470ffc2
407,25,2017-02-06T13:29:41+01:00,00:02:26:00,,Les nuits d'une demoiselle,Chansons Erotiques : 69 Trésors de la chanson coquine et grivoise,,,Variété francophone,Colette Renard,,,,
