channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
405,3,2018-01-22T00:00:15+01:00,00:09:23:00,,Chick's chums,Chinese butterfly,,,Jazz,The Chick Corea And Steve Gadd Band;Chick Corea;Steve Gadd;Lionel Loueke;Steve Wilson;Carlitos Del Puerto;Luisito Quintero,Piano;Batterie;Contrebasse;Percussions,,,
405,4,2018-01-22T00:09:38+01:00,00:05:14:00,,Medieval overture,Romantic warrior,1976-01-01,,Jazz,Return To Forever,,,,
405,5,2018-01-22T00:14:52+01:00,00:03:12:00,,Your mouth,Waka/Jawaka,1972-01-01,,Pop-Rock et autres,Frank Zappa,,,,
405,6,2018-01-22T00:18:04+01:00,00:08:43:00,,Orange lady,Weather Report : The Columbia albums 1971-75 / Cd 1,1972-01-01,,Jazz,Weather Report;Joe Zawinul;Wayne Shorter;Miroslav Vitous;Alphonse Mouzon;Airto Moreira;Don Alias;Barbara Burton,Claviers;Saxophone;Basse électrique;Batterie;Percussions;Percussions;Percussions,,,
405,8,2018-01-22T00:26:51+01:00,00:17:29:00,,Return to forever,Chinese butterfly,,,Jazz,The Chick Corea And Steve Gadd Band;Chick Corea;Steve Gadd;Lionel Loueke;Steve Wilson;Carlitos Del Puerto;Luisito Quintero,Piano;Batterie;Contrebasse;Percussions,,,
405,9,2018-01-22T00:44:20+01:00,00:03:08:00,,Barbary coast,Columbia jazz : Black market / CD 21,2013-01-01,,Jazz,Weather Report,,,,
405,11,2018-01-22T00:47:43+01:00,00:04:32:00,,Continuum,Jaco Pastorius / Donna Lee,1976-01-01,,Jazz,Jaco Pastorius,Basse,,,
405,12,2018-01-22T00:52:15+01:00,00:03:22:00,John Mac Laughlin,Thousand island park,Birds of fire,1973-01-01,,Jazz,Mahavishnu Orchestra,Orchestre,,,http://data.doremus.org/artist/a4102847-a9eb-38aa-88c8-27ea59a190bb
405,13,2018-01-22T00:55:37+01:00,00:07:13:00,,Another life,Speaking of now,2002-01-01,,Jazz,Pat Metheny Group,,,,
405,14,2018-01-22T01:02:50+01:00,00:03:16:00,,Thelonius,Blow by blow,1975-01-01,,Pop-Rock et autres,Jeff Beck,Guitare électrique,,,
405,15,2018-01-22T01:06:06+01:00,00:04:58:00,,Freeway jam,Blow by blow,1975-01-01,,Pop-Rock et autres,Jeff Beck,Guitare électrique,,,
405,17,2018-01-22T01:11:10+01:00,00:02:23:00,,Portrait of tracy,Jaco Pastorius / Donna Lee,1976-01-01,,Jazz,Jaco Pastorius,Basse,,,
405,18,2018-01-22T01:13:33+01:00,00:18:03:00,,Shhh - Peaceful,In a silent way,1969-01-01,,Jazz,Miles Davis,Trompette,,,
405,20,2018-01-22T01:31:39+01:00,00:06:35:00,,Herandnu,Columbia jazz : Black market / CD 21,2013-01-01,,Jazz,Weather Report,,,,
405,21,2018-01-22T01:38:14+01:00,00:03:06:00,,Spanish fantasy part III,My spanish heart,1976-01-01,,Jazz,Chick Corea,,,,
405,22,2018-01-22T01:41:20+01:00,00:05:04:00,,Spanish fantasy part IV,My spanish heart,1976-01-01,,Jazz,Chick Corea,,,,
405,23,2018-01-22T01:46:24+01:00,00:04:56:00,Jaco Pastorius,Three views of a secret,Sobre el atelier,2007-01-01,,Jazz,Harold Lopez Nussa,Piano,,,
405,25,2018-01-22T01:51:24+01:00,00:07:41:00,,Kuru / Speak like a child,Jaco Pastorius / Donna Lee,1976-01-01,,Jazz,Jaco Pastorius,Basse,,,
405,26,2018-01-22T01:59:05+01:00,00:06:18:00,Al Di Meola,Race with devil on spanish highway,Al di meola : Elegant gypsy,1977-01-01,,Jazz,Al Di Meola,Guitare,,,
405,27,2018-01-22T02:05:23+01:00,00:05:14:00,,You're everything,Light as a feather,1973-01-01,,Jazz,Chick Corea;Return To Forever,Piano,,,
405,29,2018-01-22T02:10:52+01:00,00:05:28:00,,Opus pocus,Jaco Pastorius / Donna Lee,1976-01-01,,Jazz,Jaco Pastorius,Basse,,,
405,30,2018-01-22T02:16:20+01:00,00:09:50:00,,Spain,Light as a feather,1973-01-01,,Jazz,Chick Corea;Return To Forever,Piano,,,
405,31,2018-01-22T02:26:10+01:00,00:09:27:00,,The gathering sky,Speaking of now,2002-01-01,,Jazz,Pat Metheny Group,,,,
405,33,2018-01-22T02:35:40+01:00,00:07:39:00,,Soli,Expresso II,1989-01-01,,Pop-Rock et autres,Gong,,,,
405,34,2018-01-22T02:43:19+01:00,00:04:24:00,,Okonkolé Y trompa,Jaco Pastorius / Donna Lee,1976-01-01,,Jazz,Jaco Pastorius,Basse,,,
405,35,2018-01-22T02:47:43+01:00,00:10:52:00,,The romantic warrior,Romantic warrior,1976-01-01,,Jazz,Return To Forever,,,,
405,36,2018-01-22T02:58:35+01:00,00:04:05:00,,Vision of a dancer,Out of the woods,1978-01-01,,Jazz,Oregon;Ralph Towner;Paul Mac Candless;Glen Moore;Collin Walcott,Guitare;Hautbois;Basse électrique;Percussions,,,
