channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
401,3,2017-08-21T00:00:06+02:00,00:04:02:00,Franz Schubert,Sonate n°21 en Si bémol Maj D 960 : Scherzo,Franz Schubert : Sonate et moments musicaux,2012-01-01,,Musique de chambre,Fabrizio Chiovetta,Piano,http://data.doremus.org/expression/1af7d27f-fd2f-3bcd-a64e-b90881b68058,0.96,http://data.doremus.org/artist/03954109-0253-35d6-a70e-89ab27dea09c
401,4,2017-08-21T00:04:08+02:00,00:01:37:00,Paul Hindemith,Trio à cordes n°1 op 34 : 3. Mässig schnelle Viertel,Hindemith et Schoenberg : Trios à cordes,2017-01-01,,Musique de chambre,Trio Zimmermann;Frank Peter Zimmermann;Antoine Tamestit;Christian Poltera,Violon;Alto (instrument);Violoncelle,http://data.doremus.org/expression/f85d3e6b-e85a-3f2e-b811-d1a79f5014d9,0.96,http://data.doremus.org/artist/ce41b86a-08bc-3ddf-8e82-b5ba0a723836
401,5,2017-08-21T00:05:45+02:00,00:04:26:00,Carl Maria Von Weber,Turandot Prinzessin von China op 37 J 75 : Ouverture - pour orchestre,Hans Robaud dirige Weber et Mendelssohn,,,Musique symphonique,Orchestre Symphonique De La Radio De Baden-Baden;Hans Rosbaud,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/4177e8d6-31d3-3607-8a24-6fa331347b72,0.73,http://data.doremus.org/artist/8000025a-e885-3177-99b3-300707faaad7
401,6,2017-08-21T00:10:11+02:00,00:04:52:00,Wolfgang Amadeus Mozart,Sérénade n°13 en Sol Maj K 525 (Une petite musique de nuit) : 2. Romance - pour orchestre à cordes,Wolfgang Amadeus Mozart : Sérénades et divertimenti,2017-01-01,,Musique symphonique,Camerata Nordica;Terje Tonnesen,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/3fad844f-3c64-39aa-9620-f373729db924,0.88,http://data.doremus.org/artist/4802a043-23bb-3b8d-a443-4a3bd22ccc63
401,7,2017-08-21T00:15:03+02:00,00:05:54:00,Felix Mendelssohn,Symphonie n°5 en Ré Maj op 107 MWV N 15 : Allegro vivace,Felix Mendelssohn : Symphonies 1 à 5,2017-01-01,,Musique symphonique,Orchestre De Chambre D'Europe;Yannick Nezet-Seguin,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/6b9d47f8-3a13-39f3-9e1c-f9fe66d8afd7,0.97,http://data.doremus.org/artist/c02d29d9-0ab1-376e-a104-ae6184064092
401,9,2017-08-21T00:21:01+02:00,00:06:23:00,Joseph Haydn,Sonate n°31 en La bémol Maj HOB XVI : 46 : Allegro Moderato,Joseph Haydn : Sonates pour piano et variations,,,Musique de chambre,Fabrizio Chiovetta,Piano,http://data.doremus.org/expression/7b073d6c-efe3-3da1-8aeb-04df08e224b8,0.87,http://data.doremus.org/artist/12fa21ff-cfa4-31d6-87d9-a22315193b04
401,10,2017-08-21T00:27:24+02:00,00:01:06:00,Georg Friedrich Haendel,Parnasso in festa : Oh quanto bella gloria (2ème partie) Choeur,Parnasso in festa HWV 73 (intégrale),2017-01-01,,Musique chorale et vocale,Carlos Federico Sepulveda;La Cetra;Andrea Marcon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/ed7eb4d4-1e91-3a02-8e07-cbf857031127
401,11,2017-08-21T00:28:30+02:00,00:00:28:00,Georg Friedrich Haendel,Parnasso in festa : Che mai facesti Orfeo (2ème partie) Récitatif Calliope,Parnasso in festa HWV 73 (intégrale),2017-01-01,,Musique chorale et vocale,Jenny Hogstrom;La Cetra;Andrea Marcon,Soprano Calliope;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/ed7eb4d4-1e91-3a02-8e07-cbf857031127
401,12,2017-08-21T00:28:58+02:00,00:01:47:00,Georg Friedrich Haendel,Parnasso in festa : Già le furie vedo ancor (2ème partie) Air Calliope,Parnasso in festa HWV 73 (intégrale),2017-01-01,,Musique chorale et vocale,Jenny Hogstrom;La Cetra;Andrea Marcon,Soprano Calliope;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/ed7eb4d4-1e91-3a02-8e07-cbf857031127
401,13,2017-08-21T00:30:45+02:00,00:01:31:00,Antonio Vivaldi,Concerto pour 2 violons violoncelle en sol min op 3 n°2 RV 578 P 326 : Adagio e spiccato,Antonio Vivaldi : Concerti / CD1,2017-01-01,,Musique symphonique,Fabio Biondi;Enrico Casazza;Maurizio Naddeo;Europa Galante;Fabio Biondi,Violon;Violon;Violoncelle;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/fe3a99d0-15cd-3a69-bee0-43ca0797499d,0.84,http://data.doremus.org/artist/b34f92ab-ad86-361b-a8b8-5c3a4db784d0
