channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
402,3,2017-10-16T00:00:06+02:00,00:02:35:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 01.Introductuon,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,4,2017-10-16T00:02:41+02:00,00:03:11:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 02.Danse des dryades,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,5,2017-10-16T00:05:52+02:00,00:04:44:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 03.Apparition de la source,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,6,2017-10-16T00:10:36+02:00,00:01:44:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 04.L'ecole des aegipans,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,7,2017-10-16T00:12:20+02:00,00:02:35:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 05.La lecon de flute de pan,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,8,2017-10-16T00:14:55+02:00,00:01:48:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 06.L'ecole des nymphes,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,9,2017-10-16T00:16:43+02:00,00:09:28:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 07.La lecon de danse,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,10,2017-10-16T00:26:11+02:00,00:06:38:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 08.Scene,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,11,2017-10-16T00:32:49+02:00,00:06:30:00,Gabriel Pierne,Cydalise et le chevre-pied-1er tableau : 09.Styrax,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
402,12,2017-10-16T00:39:19+02:00,00:02:48:00,Gabriel Pierne,Cydalise et le chevre-pied-2 eme tableau : 10.Entree des danseurs,Cydalise et le chèvre-pied/Gabriel Pierné,2000-01-01,,Musique symphonique,Orchestre Philharmonique Du Luxembourg;David Shallon,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/298ac455-861f-34c5-8a1a-3d0e08d79756
