channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
405,3,2017-05-15T00:00:09+02:00,00:06:17:00,,R.l.´s story,Wish I was in heaven sitting down,2000-01-01,,Jazz,Divers;Burnside Rl,,,,
405,4,2017-05-15T00:06:26+02:00,00:02:27:00,,Mystery train,The Sun blues box / CD 3 & 4,2013-01-01,,Jazz,Little Junior'S Blue Flames,,,,
405,5,2017-05-15T00:08:53+02:00,00:03:59:00,,For miss caulker,The singles plus,1987-01-01,,Pop-Rock et autres,The Animals,,,,
405,6,2017-05-15T00:12:52+02:00,00:03:08:00,,Blue and lonesome,Blue & Lonesome,2016-01-01,,Pop-Rock et autres,The Rolling Stones;Mick Jagger;Keith Richard;Ronnie Wood;Charlie Watts;Darryl Jones;Chuck Leavell;Matt Clifford,Guitare;Guitare;Batterie;Basse;Claviers;Claviers,,,
405,7,2017-05-15T00:16:00+02:00,00:03:20:00,,Dark was the night - cold was the ground,Praise God i'm satisfied,1989-01-01,,Jazz,Blind Willie Johnson,,,,
405,9,2017-05-15T00:19:35+02:00,00:03:23:00,,I believe to my soul,The trackin' the hits/House of the rising sun,,,Pop-Rock et autres,The Animals,,,,
405,10,2017-05-15T00:22:58+02:00,00:04:13:00,,Down home girl,The Rolling Stones Now!,1965-01-01,,Pop-Rock et autres,The Rolling Stones,,,,
405,11,2017-05-15T00:27:11+02:00,00:04:02:00,,I'm in love,American folk blues festival 1962,,,Jazz,Memphis Slim;T-Bone Walker;Willie Dixon;Jump Jackson,Piano;Guitare;Basse;Batterie,,,
405,12,2017-05-15T00:31:13+02:00,00:06:05:00,,Ain´t no use,So goes love,1998-01-01,,Jazz,Charles Brown;Leroy Kirkland;Sidney J. Wyche,,,,
405,13,2017-05-15T00:37:18+02:00,00:03:51:00,,Hong kong,Live Paris 1988,1988-01-01,,Jazz,Screamin' Jay Hawkins;Chicken Hawks;Swing Feeling,Voix;Instrument électronique;Instrument électronique,,,
405,15,2017-05-15T00:41:13+02:00,00:03:51:00,,I put a spell on you,Live Paris 1988,1988-01-01,,Jazz,Screamin' Jay Hawkins;Chicken Hawks;Swing Feeling,Voix;Instrument électronique;Instrument électronique,,,
405,16,2017-05-15T00:45:04+02:00,00:04:34:00,,In the evening,Anthologie du blues vol.1,1968-01-01,,Jazz,Champion Jack Dupree,,,,
405,17,2017-05-15T00:49:38+02:00,00:03:16:00,,Anna Lee,Chicago blues,,,Jazz,Robert Nighthawk,,,,
405,18,2017-05-15T00:52:54+02:00,00:06:15:00,,You've got to keep on trying,Tribute To Orange,1990-01-01,,Jazz,Jimmy Dawkins;Divers,Guitare,,,
405,20,2017-05-15T00:59:15+02:00,00:03:58:00,Stephane Grappelli,Les valseuses,In the mood for tuba,2014-01-01,,Musique de chambre,Thomas Leleu;Alexis Cardenas;Alexander Cardenas;Wissem Ben Ammar;Saraluz Acevedo;Martin Mathieu;Thomas Leleu Sextet,Tuba;Violon;Violon;Alto (instrument);Violoncelle;Contrebasse;Ensemble Instrumental,,,http://data.doremus.org/artist/9a6f618d-1e01-3a20-a6dd-19d5cd5e52d2
405,21,2017-05-15T01:03:13+02:00,00:03:35:00,Kurt Weill,Lost in the Stars : Trouble Man,Thousands of Miles,2017-01-01,,Musique chorale et vocale,Kate Lindsey;Baptiste Trotignon,Mezzo-soprano;Piano,http://data.doremus.org/expression/02edc1ed-3020-3b7c-b977-826b32956131,1.00,http://data.doremus.org/artist/55cf22c5-ba2f-3e63-9004-d8eed4b9854b
405,22,2017-05-15T01:06:48+02:00,00:04:50:00,,Es ist Vollbracht,Think Bach op 2,2017-01-01,,Musique soliste,Edouard Ferlet,Piano,,,
405,23,2017-05-15T01:11:38+02:00,00:02:18:00,,Mécanique organique,Think Bach op 2,2017-01-01,,Musique soliste,Edouard Ferlet,Piano,,,
405,24,2017-05-15T01:13:56+02:00,00:03:08:00,Jean Pierre Rebillard,Un verre de graves pour françou,Bear on a Tightrope,2017-01-01,,Jazz,Serge Merlaud;Jean Pierre Rebillard,Guitare;Contrebasse,,,
405,26,2017-05-15T01:17:07+02:00,00:01:27:00,Kari Ikonen,Itämerengue,Orchestra Nazionale della Luna,2017-01-01,,Jazz,Orchestra Nazionale Della Luna,,,,
405,27,2017-05-15T01:18:34+02:00,00:06:07:00,Manuel Hermia,Karibou,Orchestra Nazionale della Luna,2017-01-01,,Jazz,Orchestra Nazionale Della Luna,,,,
405,28,2017-05-15T01:24:41+02:00,00:12:09:00,Serge Teyssot-Gay;Gaspar Claus;Kakushin Nishihara,La tempête,Yoshitsune,2017-01-01,,Jazz,Kintsugi;Serge Teyssot-Gay;Kakushin Nishihara;Gaspar Claus,Guitare électrique Traitement électronique;Biwa (luth) Chant Instrument électronique;Violoncelle Traitement électronique,,,
405,30,2017-05-15T01:37:13+02:00,00:05:01:00,Christophe Wallemme,Rock My Home (feat. Ibrahim Maalouf),Rock my home (feat. Ibrahim Maalouf),2017-01-01,,Jazz,Christophe Wallemme,,,,
405,31,2017-05-15T01:42:14+02:00,00:04:24:00,Serge Gainsbourg,L'eau à la bouche,French songs,2017-01-01,,Jazz,Olivier Ker Ourio;Sylvain Luc;Laurent Vernerey;Lukmil Perez,Harmonica;Guitare électrique;Basse électrique;Batterie,http://data.doremus.org/expression/65e8936f-dd26-353d-a839-f1f018cc3d33,1.00,http://data.doremus.org/artist/daec81ba-a882-3bc1-83c7-b6cee470ffc2
405,32,2017-05-15T01:46:38+02:00,00:11:03:00,Omar Rahbany,Programmusik : Babel (feat. Keith Carlock Wayne Krantz & Cuong Vu),Passport,2017-01-01,,Jazz,Omar Rahbany,,,,
405,34,2017-05-15T01:57:50+02:00,00:03:55:00,,Brothers,Brothers,2015-01-01,,Jazz,Etienne Deconfin;Geraud Portal;Ben Solomon;Kush Abadey,Piano;Contrebasse;Saxophone ténor;Batterie,,,
405,35,2017-05-15T02:01:45+02:00,00:03:21:00,Duke Ellington,Magenta haze,A tone parallel to Harlem,2017-01-01,,Jazz,Claude Bolling,,,,http://data.doremus.org/artist/b653b726-cbc0-3911-b334-ea34c7c1a6ff
