channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
402,3,2017-09-25T00:00:06+02:00,00:22:27:00,Franz Liszt,Hungaria S 103 - pour orchestre,Franz Liszt : Poèmes symphoniques / vol 2,2017-01-01,,Musique symphonique,Orchestre Symphonique Du Ministere De La Culture D'Urss;Mark Ermler,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/41d72206-e64a-3b80-ad93-588c2505054b,1.00,http://data.doremus.org/artist/aabcd2ee-ac9b-30f2-8096-e9de8b3c7a81
402,5,2017-09-25T00:22:36+02:00,00:13:54:00,Georges Bizet,Roma (Fantaise symphonique en Ut Maj) (Suite n°3 pour orchestre) : 1. Une chasse dans la forêt d'Ostie,Georges Bizet : Oeuvres symphoniques,2017-01-01,,Musique symphonique,Orchestre Symphonique De La Radio De Moscou;Fuat Mansurov,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c7996685-000b-354e-861b-1f816f40d13b,0.92,http://data.doremus.org/artist/e432aa13-207f-34f8-9792-d1d15fcd4711
402,6,2017-09-25T00:36:30+02:00,00:05:31:00,Georges Bizet,Roma (Fantaise symphonique en Ut Maj) (Suite n°3 pour orchestre) : 2. Scherzo,Georges Bizet : Oeuvres symphoniques,2017-01-01,,Musique symphonique,Orchestre Symphonique De La Radio De Moscou;Fuat Mansurov,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c7996685-000b-354e-861b-1f816f40d13b,0.93,http://data.doremus.org/artist/e432aa13-207f-34f8-9792-d1d15fcd4711
402,7,2017-09-25T00:42:01+02:00,00:09:44:00,Georges Bizet,Roma (Fantaise symphonique en Ut Maj) (Suite n°3 pour orchestre) : 3. Procession,Georges Bizet : Oeuvres symphoniques,2017-01-01,,Musique symphonique,Orchestre Symphonique De La Radio De Moscou;Fuat Mansurov,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c7996685-000b-354e-861b-1f816f40d13b,0.92,http://data.doremus.org/artist/e432aa13-207f-34f8-9792-d1d15fcd4711
402,8,2017-09-25T00:51:45+02:00,00:06:39:00,Georges Bizet,Roma (Fantaise symphonique en Ut Maj) (Suite n°3 pour orchestre) : 4. Carnaval à Rome,Georges Bizet : Oeuvres symphoniques,2017-01-01,,Musique symphonique,Orchestre Symphonique De La Radio De Moscou;Fuat Mansurov,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c7996685-000b-354e-861b-1f816f40d13b,0.93,http://data.doremus.org/artist/e432aa13-207f-34f8-9792-d1d15fcd4711
402,10,2017-09-25T00:58:33+02:00,00:10:56:00,Ottorino Respighi,Adagio con variazoni pour violoncelle et orchestre P 133,Tecchler's Cello from Cambridge to Rome,2017-01-01,,Musique de chambre,Guy Johnston;Orchestre De L'Academie Sainte Cecile De Rome;Carlo Rizzari,Violoncelle;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/744e54f3-d9b2-3e16-a3a9-86ed41d8ee6d
402,11,2017-09-25T01:09:29+02:00,00:01:08:00,Alfredo Casella,Inezie op 32 : Preludio - pour piano,Dispersion,2016-01-01,,Musique soliste,Steven Vanhauwaert,Piano,,,http://data.doremus.org/artist/63e8182f-b99e-3766-9828-d8cfe9de384a
402,12,2017-09-25T01:10:37+02:00,00:01:34:00,Alfredo Casella,Inezie op 32 : Serenata - pour piano,Dispersion,2016-01-01,,Musique soliste,Steven Vanhauwaert,Piano,,,http://data.doremus.org/artist/63e8182f-b99e-3766-9828-d8cfe9de384a
402,13,2017-09-25T01:12:11+02:00,00:02:28:00,Alfredo Casella,Inezie op 32 : Berceuse - pour piano,Dispersion,2016-01-01,,Musique soliste,Steven Vanhauwaert,Piano,,,http://data.doremus.org/artist/63e8182f-b99e-3766-9828-d8cfe9de384a
402,15,2017-09-25T01:14:43+02:00,00:09:24:00,Maurice Ravel,Trio avec piano en la min : Modéré,Maurice Ravel : Musique de chambre,2008-01-01,,Musique de chambre,Trio Dali;Amandine Savary;Vineta Sareika;Christian-Pierre La Marca,Piano;Violon;Violoncelle,http://data.doremus.org/expression/04caaa81-d4f5-33e1-8ed7-d1a30595ef2b,0.80,http://data.doremus.org/artist/1b1205f9-b99a-3bb8-ba77-256689af2e00
402,16,2017-09-25T01:24:07+02:00,00:04:29:00,Maurice Ravel,Trio avec piano en la min : Pantoum,Maurice Ravel : Musique de chambre,2008-01-01,,Musique de chambre,Trio Dali;Amandine Savary;Vineta Sareika;Christian-Pierre La Marca,Piano;Violon;Violoncelle,http://data.doremus.org/expression/04caaa81-d4f5-33e1-8ed7-d1a30595ef2b,0.79,http://data.doremus.org/artist/1b1205f9-b99a-3bb8-ba77-256689af2e00
402,17,2017-09-25T01:28:36+02:00,00:07:31:00,Maurice Ravel,Trio avec piano en la min : Passacaille,Maurice Ravel : Musique de chambre,2008-01-01,,Musique de chambre,Trio Dali;Amandine Savary;Vineta Sareika;Christian-Pierre La Marca,Piano;Violon;Violoncelle,http://data.doremus.org/expression/04caaa81-d4f5-33e1-8ed7-d1a30595ef2b,0.81,http://data.doremus.org/artist/1b1205f9-b99a-3bb8-ba77-256689af2e00
402,18,2017-09-25T01:36:07+02:00,00:05:23:00,Maurice Ravel,Trio avec piano en la min : Finale,Maurice Ravel : Musique de chambre,2008-01-01,,Musique de chambre,Trio Dali;Amandine Savary;Vineta Sareika;Christian-Pierre La Marca,Piano;Violon;Violoncelle,http://data.doremus.org/expression/04caaa81-d4f5-33e1-8ed7-d1a30595ef2b,0.79,http://data.doremus.org/artist/1b1205f9-b99a-3bb8-ba77-256689af2e00
