channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
406,3,2017-12-11T00:00:08+01:00,00:01:12:00,George Antheil,Lithuanian night - 2,Fighting the waves,,,Musique symphonique,Ensemble Modern,Orchestre,http://data.doremus.org/expression/d5942bea-d2ef-3f49-bb41-a4ac123c6f40,1.00,http://data.doremus.org/artist/af524c52-dfe6-335c-ad14-8ad170d9f839
406,5,2017-12-11T00:01:37+01:00,00:14:25:00,George Antheil,Ballet mécanique,Fighting the waves,,,Musique symphonique,Ensemble Modern;Hk Gruber,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/916f1a08-5d1f-34f6-8ffc-a8a2493a6c91,1.00,http://data.doremus.org/artist/af524c52-dfe6-335c-ad14-8ad170d9f839
406,7,2017-12-11T00:16:05+01:00,00:14:27:00,Saed Haddad,Le contredésir - pour clarinette cor et violoncelle,Saed Haddad : Oeuvres instrumentales,2010-01-01,,Musique de chambre,Ensemble Modern;Nina Janssen;Saar Berger;Michael Kasper,Clarinette;Cor;Violoncelle,,,http://data.doremus.org/artist/6175219c-654e-3cbd-b9bb-f844b0391635
406,9,2017-12-11T00:30:53+01:00,00:10:32:00,Marcus Antonius Wesselmann,Sextuor,Marcus Antonius Wesselmann : Oeuvres pour ensemble / Vol. 1,2015-01-01,,Musique de chambre,Ensemble Modern;Franck Ollu,Chef d'orchestre,,,
406,10,2017-12-11T00:41:25+01:00,00:01:17:00,Arnulf Herrmann,Fiktive Tänze : Auszeit - pour orchestre de 17 musiciens,Donaueschinger Musiktage 2008 / Vol 2,2008-01-01,,Musique contemporaine,Ensemble Modern;Frank Ollu,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/9aa1ec74-e5cc-3cf2-892c-df549ca88e0a,1.00,http://data.doremus.org/artist/484c56f5-c1ef-3d97-ab44-3e793fae6312
406,12,2017-12-11T00:42:45+01:00,00:07:37:00,Frank Zappa,Revised music for low budget orchestra,Greggery peccary and other persuasions /Ensemble Modern plays Zappa,2002-01-01,,Divers,Ensemble Modern;Ensemble Modern;Jonathan Stockhammer,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/73247f3a-a7b6-364b-b106-543ef55887fc
406,14,2017-12-11T00:50:41+01:00,00:09:48:00,Agata Zubel,Labyrinth - pour voix flûte traversière trompette saxophone et contrebasse,Agata Zubel : Not I,2014-01-01,,Musique de chambre,Klangforum De Vienne;Agata Zubel;Clement Power,Chef d'orchestre,,,
406,15,2017-12-11T01:00:29+01:00,00:15:38:00,Gerard Pesson,Wunderblock ""nebenstück II"" - pour accordéon et orchestre,Aggravations et final,2009-01-01,,Musique de chambre,Teodoro Anzellotti;Orchestre Symphonique Du Wdr De Cologne;Johannes Kalitzke,Chant;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/441ada62-3e3f-3df1-8e9c-8f79ee77bf99
406,17,2017-12-11T01:16:30+01:00,00:22:57:00,Helmut Lachenmann,Mouvement (vor der Erstarrung) - pour 15 instruments,Helmut Lachenmann : Schwankungen am Rand et autres oeuvres,2002-01-01,,Musique symphonique,Ensemble Modern Orchestra;Peter Eotvos,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/ca4b9e89-8ddf-33c2-b905-0285631329dc,0.93,http://data.doremus.org/artist/eabac351-4e52-392c-8c23-08237c59b938
406,19,2017-12-11T01:39:30+01:00,00:08:41:00,Mark-Anthony Turnage,Blood on the floor,Mark Anthony Turnage : Blood on the floor,1997-01-01,,Musique contemporaine,John Scofield;Peter Erskine;Martin Robertson;Ensemble Modern;Peter Rundel,Guitare;Batterie;Saxophone;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/eaae1170-9f3d-3c4a-92f0-2bc1edc2dbcb,1.00,http://data.doremus.org/artist/6be5c3f6-d661-35d5-8b74-029d65729830
406,22,2017-12-11T01:48:42+01:00,00:07:00:00,,Get Whitey,The yellow shark,1993-01-01,,Musique contemporaine,Frank Zappa,,,,
406,24,2017-12-11T01:55:45+01:00,00:03:33:00,Steve Reich,Octet (Eight Lines) : Eight Lines,Steve Reich : City Life New York Counterpoint et Octet,2002-01-01,,Musique contemporaine,Esnemble Modern;Bradley Lubman,Chef d'orchestre,,,http://data.doremus.org/artist/b9b7fcad-2b60-3514-86a2-2aa40e3aea39
406,25,2017-12-11T01:59:18+01:00,00:02:51:00,Steve Reich,Octet (Eight Lines) : Ziffer 16,Steve Reich : City Life New York Counterpoint et Octet,2002-01-01,,Musique contemporaine,Esnemble Modern;Bradley Lubman,Chef d'orchestre,,,http://data.doremus.org/artist/b9b7fcad-2b60-3514-86a2-2aa40e3aea39
406,26,2017-12-11T02:02:09+01:00,00:03:49:00,Steve Reich,Octet (Eight Lines) : Ziffer 31,Steve Reich : City Life New York Counterpoint et Octet,2002-01-01,,Musique contemporaine,Esnemble Modern;Bradley Lubman,Chef d'orchestre,,,http://data.doremus.org/artist/b9b7fcad-2b60-3514-86a2-2aa40e3aea39
406,27,2017-12-11T02:05:58+01:00,00:02:29:00,Steve Reich,Octet (Eight Lines) : Ziffer 46,Steve Reich : City Life New York Counterpoint et Octet,2002-01-01,,Musique contemporaine,Esnemble Modern;Bradley Lubman,Chef d'orchestre,,,http://data.doremus.org/artist/b9b7fcad-2b60-3514-86a2-2aa40e3aea39
406,28,2017-12-11T02:08:27+01:00,00:03:21:00,Steve Reich,Octet (Eight Lines) : Ziffer 61,Steve Reich : City Life New York Counterpoint et Octet,2002-01-01,,Musique contemporaine,Esnemble Modern;Bradley Lubman,Chef d'orchestre,,,http://data.doremus.org/artist/b9b7fcad-2b60-3514-86a2-2aa40e3aea39
406,29,2017-12-11T02:11:48+01:00,00:16:24:00,Aurelien Dumont,Abîme apogée (pour ensemble et électronique),While,2015-01-01,,Musique contemporaine,Ensemble Klangforum Wien;Jean Michael Lavoie,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/f984d546-20bc-377e-b669-42e424d6a1b0
