channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
406,4,2017-01-09T00:00:31+01:00,00:16:41:00,Guy Reibel,Variations en étoile 2,Cohen-Solal Canton Reibel Ferreyra : Shadoks Voix inouies et autres oeuvres,,,Divers,Jean Pierre Drouet,Percussions,,,http://data.doremus.org/artist/2aab68e5-89dc-31e8-961f-9238e86ee1c0
406,6,2017-01-09T00:17:15+01:00,00:02:17:00,Pierre Schaeffer,Bilude,Pierre Schaeffer : les révisions 1948 1952 et oeuvres posterieures 1957 1959 et 1975 a 1979 / Vol 3,1990-01-01,,Musique contemporaine,Pierre Schaeffer;Minka Roustcheva,Piano,http://data.doremus.org/expression/2db27e4c-4d42-3a0d-aa99-b8c5ab3e3bb1,1.00,http://data.doremus.org/artist/5c83aab2-669a-31e7-98a4-89cea1a49333
406,9,2017-01-09T00:20:00+01:00,00:15:20:00,Magnus Lindberg,Kraft : Mouvement 1 - Pour ensemble et orchestre,Esa Pekka Salonen dirige Magnus Lindberg,1988-01-01,,Musique contemporaine,Toimii Ensemble;Orchestre Symphonique De La Radio Suedoise;Esa Pekka Salonen,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/cfc5ad1d-408e-33d8-91f1-750f17f7a607,1.00,http://data.doremus.org/artist/d39c4044-4131-3a99-ac1b-67207dfd8099
406,10,2017-01-09T00:35:20+01:00,00:13:55:00,Magnus Lindberg,Kraft : Mouvement 2 - Pour ensemble et orchestre,Esa Pekka Salonen dirige Magnus Lindberg,1988-01-01,,Musique contemporaine,Toimii Ensemble;Orchestre Symphonique De La Radio Suedoise;Esa Pekka Salonen,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/cfc5ad1d-408e-33d8-91f1-750f17f7a607,1.00,http://data.doremus.org/artist/d39c4044-4131-3a99-ac1b-67207dfd8099
406,13,2017-01-09T00:49:42+01:00,00:12:06:00,Luc Ferrari,Presque rien n°2 la nuit dans ma tete multiple,Presque rien,1995-01-01,,Musique contemporaine,,,http://data.doremus.org/expression/03150a14-1a17-3d1e-820e-89cec1fb911a,1.00,http://data.doremus.org/artist/a8e53835-c5ae-32cb-84cf-db159a2931f6
406,14,2017-01-09T01:01:48+01:00,00:05:10:00,Luc Ferrari,Presque rien n°2 la nuit dans ma tete multiple (2),Presque rien,1995-01-01,,Musique contemporaine,,,http://data.doremus.org/expression/03150a14-1a17-3d1e-820e-89cec1fb911a,1.00,http://data.doremus.org/artist/a8e53835-c5ae-32cb-84cf-db159a2931f6
406,15,2017-01-09T01:06:58+01:00,00:04:25:00,Luc Ferrari,Presque rien n°2 la nuit dans ma tete multiple (3),Presque rien,1995-01-01,,Musique contemporaine,,,http://data.doremus.org/expression/03150a14-1a17-3d1e-820e-89cec1fb911a,1.00,http://data.doremus.org/artist/a8e53835-c5ae-32cb-84cf-db159a2931f6
406,17,2017-01-09T01:11:46+01:00,00:07:21:00,Toru Takemitsu,Garden rain pour 10 cuivres,L'Ensemble 2E2M interprète Toru Takemitsu,1998-01-01,,Musique contemporaine,Ensemble 2e2m;Paul Mefano,Chef d'orchestre,,,http://data.doremus.org/artist/40ebbc9d-1cd3-383f-9683-5201184fe040
406,20,2017-01-09T01:19:41+01:00,00:19:10:00,Luciano Berio,Laborintus 2 : Première partie,Laborintus 2,1970-01-01,,Musique contemporaine,Christiane Legrand;Janette Baucomont;Claudine Meunier;Edoardo Sanguineti;Ensemble Musique Vivante;Luciano Berio,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/32efe5d4-07f4-3fa4-93ec-a85f4ff0477b,1.00,http://data.doremus.org/artist/f71cf790-a6a9-34cb-9f0e-1ddfb62f7fcd
406,21,2017-01-09T01:38:51+01:00,00:13:51:00,Luciano Berio,Laborintus 2 : Deuxième partie,Laborintus 2,1970-01-01,,Musique contemporaine,Christiane Legrand;Janette Baucomont;Claudine Meunier;Edoardo Sanguineti;Ensemble Musique Vivante;Luciano Berio,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/32efe5d4-07f4-3fa4-93ec-a85f4ff0477b,1.00,http://data.doremus.org/artist/f71cf790-a6a9-34cb-9f0e-1ddfb62f7fcd
