channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,3,2017-12-18T15:00:04+01:00,00:02:04:00,Jurgen Knieper,L'ami américain : Der Freund Im Zug,Musiques de films / Wim Wenders road music,1989-01-01,,Musique de film,Non Identifie;Jurgen Knieper,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/a21f375a-cce3-3794-93ed-68a47224b470
407,4,2017-12-18T15:02:08+01:00,00:06:04:00,Hazmat Modine,Pina : Bahamut,BOF / Pina dansez dansez sinon nous sommes perdus,2011-01-01,,Musique de film,,,,,
407,5,2017-12-18T15:08:12+01:00,00:03:56:00,Broke but busy,Soul kitchen : Gang & Gaebe,BOF / Soul kitchen,2010-01-01,,Musique de film,Broke But Busy,,,,
407,6,2017-12-18T15:12:08+01:00,00:03:27:00,Shantel,De l'autre côté : Glazart sea,B.O.F. / De l'autre côté / The edge of heaven,2007-01-01,,Musique de film,Shantel,,,,
407,7,2017-12-18T15:15:35+01:00,00:01:28:00,Gabriel Yared,La vie des autres : Georg dreymann der dichter,Bof /Das leben der anderen,,,Musique de film,Gabriel Yared;Stephane Moucha,,,,http://data.doremus.org/artist/fed157ec-2f46-320b-8a5b-bff1da0c910e
407,8,2017-12-18T15:17:03+01:00,00:01:11:00,Yann Tiersen,Good bye Lenin : The deutsch mark is coming,Good bye Lenin (bof),2003-01-01,,Musique de film,,,,,http://data.doremus.org/artist/3ee7be49-dc6b-3dbd-968a-1c9772add360
407,9,2017-12-18T15:18:14+01:00,00:01:55:00,Julian Maas;Christoph M. Kaiser,Fritz Bauer un heros Allemand : Victoria,BOF/ Fritz Bauer un heros Allemand,2015-01-01,,Musique de film,,,,,
407,11,2017-12-18T15:20:12+01:00,00:01:24:00,Ry Cooder,The end of violence : Paige,B.O.F. / The end of violence,,,Musique de film,Ry Cooder,Guitare électrique,,,http://data.doremus.org/artist/d01f378c-8212-3c7e-929a-e91e5c9cbf76
407,12,2017-12-18T15:21:36+01:00,00:06:50:00,Ry Cooder,Johnny belle gueule : I can't walk this time,Bof/Johnny belle gueule,,,Musique de film,Ry Cooder,,,,http://data.doremus.org/artist/d01f378c-8212-3c7e-929a-e91e5c9cbf76
407,13,2017-12-18T15:28:26+01:00,00:03:15:00,David Mansfield,Broken trail : Prologue - Chinatown,Bof / Broken trail,2006-01-01,,Musique de film,,,,,
407,14,2017-12-18T15:31:41+01:00,00:02:23:00,David Mansfield,Les portes du paradis : Mamou two-step,BOF/Les portes du paradis,1998-01-01,,Musique de film,David Mansfield,,,,
407,15,2017-12-18T15:34:04+01:00,00:02:57:00,Stanley Myers,Voyage au bout de l'enfer : Sarabande,BOF / Voyage au bout de l'enfer,1979-01-01,,Musique de film,John Williams,Guitare,[object Promise],1.00,http://data.doremus.org/artist/0a87adf2-1e71-3a4d-b62f-0d276c48ef54
407,16,2017-12-18T15:37:01+01:00,00:02:10:00,Stanley Myers,Le refroidisseur de dames : Alpert memorial,BOF / Le refroidisseur de dames,1968-01-01,,Musique de film,Stanley Myers,Chef d'orchestre,,,http://data.doremus.org/artist/0a87adf2-1e71-3a4d-b62f-0d276c48ef54
407,18,2017-12-18T15:39:14+01:00,00:09:06:00,Ennio Morricone,Il était une fois la révolution : Invenzione per john,BOF/ Il était une fois la révolution,2009-01-01,,Musique de film,James Coburn;Rod Steiger;Romolo Valli,,[object Promise],1.00,http://data.doremus.org/artist/3cec2023-12e2-3046-905b-74e97ab94e70
407,19,2017-12-18T15:48:20+01:00,00:01:25:00,Laurie Johnson;Jennings Val,Chapeau melon et bottes de cuir : Dead man's treasure,B.O.F / The avengers,2007-01-01,,Musique de film,,,,,
407,20,2017-12-18T15:49:45+01:00,00:02:03:00,Neil Young,Dead man : Guitar solo 2,Dead man,1996-01-01,,Musique de film,,,,,http://data.doremus.org/artist/4f83f868-ea3f-364d-a480-2e33eac3fc0a
407,21,2017-12-18T15:51:48+01:00,00:03:25:00,Jozef Van Wissem & Squrl,Only lovers left alive : Sola Gratia (Part 1),BOF : Only lovers left alive,2014-01-01,,Musique de film,Jozef Van Wissem & Squrl,,,,
407,22,2017-12-18T15:55:13+01:00,00:02:24:00,Bono,The million dollar hotel : Tom tom's room,BOF / The million dollar hotel,2000-01-01,,Musique de film,Brad Mehldau;Bill Frisell,,,,http://data.doremus.org/artist/f88ed9d7-d426-3d12-af9f-d92d635aeeb1
407,24,2017-12-18T15:57:41+01:00,00:04:08:00,Clint Eastwood;Lennie Niehaus,Space cowboys : Still crazy after all these years,BOF / Space cowboys,2000-01-01,,Musique de film,Brad Mehldau Trio,,,,
407,25,2017-12-18T16:01:49+01:00,00:03:19:00,Hans Zimmer,Interstellar : Day one,BOF/ Interstellar,2014-01-01,,Musique de film,,,,,http://data.doremus.org/artist/24dd1f5e-591c-303c-ad66-3e2da62632ce
407,26,2017-12-18T16:05:08+01:00,00:03:43:00,Danny Elfman,Sleepy Hollow : Evil eye,Bof : Sleepy Hollow,1999-01-01,,Musique de film,Allan Wilson,Chef d'orchestre,,,
407,27,2017-12-18T16:08:51+01:00,00:02:15:00,Joseph Loduca,Evil dead : Eye games / Charm,BOF / Evil dead,1984-01-01,,Musique de film,,,,,
407,28,2017-12-18T16:11:06+01:00,00:01:58:00,Joseph Loduca,Burying the ex : Psycho green / Travis freaks,BOF / Burying the ex,2015-01-01,,Musique de film,,,,,
407,29,2017-12-18T16:13:04+01:00,00:01:34:00,Joseph Loduca,Le pacte des loups : La danse des couteaux,Le pacte des loups,2001-01-01,,Musique de film,,,,,
407,30,2017-12-18T16:14:38+01:00,00:01:11:00,Subramaniam,Salaam Bombay : Manju's theme,BOF / Salaam Bombay,1988-01-01,,Musique de film,Dutt Geeta;Subramaniam,Chef d'orchestre,,,
407,32,2017-12-18T16:15:52+01:00,00:06:17:00,Ravi Shankar,Gandhi : For all mankind (vocal),Gandhi (film),1982-01-01,,Musique de film,Ravi Shankar;Vijay Raghav Rao;Lakshmi Shankar;Sultan Khan;Divers;Orchestre Wren De Londres;George Fenton,Sitar (luth);Flûte;Sarangi (vièle);Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/77012925-33f6-3ef0-9833-368271600eec
407,33,2017-12-18T16:22:09+01:00,00:02:31:00,Traditionnel,Mandela : Toyi toyi mix,Bof /Mandela,1996-01-01,,Musique de film,The African National Congress Choir,Orchestre,,,http://data.doremus.org/artist/8f7dc654-b6ef-3da3-8dc1-93e1655d2d19
407,34,2017-12-18T16:24:40+01:00,00:04:25:00,Leonard Bernstein,West side story : Cool!,BOF/West side story,1965-01-01,,Musique de film,Tucker Smith,,[object Promise],1.00,http://data.doremus.org/artist/6a99c949-7cf5-3290-829e-ff2d07b1cf65
407,35,2017-12-18T16:29:05+01:00,00:06:05:00,Bob Dylan,Pat garrett & Billy the kid : Main iitle theme (Billy),Pat garrett & Billy the kid,1973-01-01,,Musique de film,Bob Dylan,,,,http://data.doremus.org/artist/ca9d7b3e-cd12-3c70-89cd-cdb2979b599d
407,36,2017-12-18T16:35:10+01:00,00:02:33:00,Richard Gillis,Un nommé Cable Hogue : Butterfly mornin's,BOF / Un nomme Cable Hogue (The ballad of Cable Hogue),1971-01-01,,Musique de film,Stella Stevens;Jason Robards,,,,
407,37,2017-12-18T16:37:43+01:00,00:01:50:00,Robert Farnon,Shalako : Irena,BOF / Shalako,1968-01-01,,Musique de film,,,,,http://data.doremus.org/artist/235db7bb-f7f9-3526-a368-29bf1360b907
407,38,2017-12-18T16:39:33+01:00,00:02:07:00,Nick Cave;Warren Ellis,Wind river : Memory time,BOF / Wind river,2017-01-01,,Musique de film,,,,,
407,39,2017-12-18T16:41:40+01:00,00:02:25:00,Warren Ellis,Mars : Science,BOF TV / Mars,2016-01-01,,Musique de film,Nick Cave;Warren Ellis,,,,
407,41,2017-12-18T16:44:08+01:00,00:02:57:00,Ennio Morricone,Mission to Mars : Ecstacy of mars,Bof / Mission to mars,2003-01-01,,Musique de film,Ennio Morricone,Chef d'orchestre,,,http://data.doremus.org/artist/3cec2023-12e2-3046-905b-74e97ab94e70
407,42,2017-12-18T16:47:05+01:00,00:04:37:00,John Carpenter,Ghosts of Mars : Love siege,Bof/Ghosts of mars,2001-01-01,,Musique de film,John Carpenter;Steve Vai;Divers,Claviers;Guitare,,,
407,43,2017-12-18T16:51:42+01:00,00:02:31:00,John Carpenter;Alan Howarth,Christine : Christine attacks (plymouth fury),BOF / Christine,1989-01-01,,Musique de film,,,,,
407,44,2017-12-18T16:54:13+01:00,00:02:28:00,Jim Williams,Grave : Child music 6 Reflections on infancy,BOF / Grave (Raw),2017-01-01,,Musique de film,,,,,
407,45,2017-12-18T16:56:41+01:00,00:03:00:00,Jim Williams,Grave : Raw main title theme,BOF / Grave (Raw),2017-01-01,,Musique de film,,,,,
407,47,2017-12-18T16:59:45+01:00,00:02:58:00,Nick Cave & Warren Ellis,La route : The beach,White Lunar,2009-01-01,,Musique de film,Nick Cave;Ellis Warren,,,,
407,48,2017-12-18T17:02:43+01:00,00:03:33:00,Alex Somers,Captain fantastic : Keepsakes,BOF / Captain fantastic,2016-01-01,,Musique de film,,,,,
407,49,2017-12-18T17:06:16+01:00,00:02:16:00,Carter Burwell,The hi-lo country : The cattle drive,The hi-lo country,1999-01-01,,Musique de film,,,,,http://data.doremus.org/artist/2d2d740d-1ac7-3cf3-abf9-342246b1fa73
407,50,2017-12-18T17:08:32+01:00,00:01:29:00,Dimitri Tiomkin,La rivière rouge : Red river camp,BOF / Red river - La rivière rouge,2005-01-01,,Musique de film,Orchestre Symphonique De Moscou;William Stromberg,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/36a6823b-0a79-3fdf-846f-a065b50e92db
407,51,2017-12-18T17:10:01+01:00,00:01:56:00,Angelo Badalamenti,Holy smoke : Kiss all around it,Holy smoke (film),1999-01-01,,Musique de film,,,,,http://data.doremus.org/artist/447286cc-89b1-36d3-9c26-2869e0b33ace
407,52,2017-12-18T17:11:57+01:00,00:03:21:00,John Medeski;Billy Martin;Chris Wood,Lulu on the bridge : Sugarcraft,B.O.F./ Lulu On The Bridge,1998-01-01,,Musique de film,John Medeski;Billy Martin;Chris Wood,Claviers;Basse;Percussions,,,
407,53,2017-12-18T17:15:18+01:00,00:04:32:00,John Zorn,The rain horse : Tears of morning,BOF / The rain horse,2008-01-01,,Musique de film,Erik Friedlander;Rob Burger;Greg Cohen,Violoncelle;Piano;Contrebasse,,,http://data.doremus.org/artist/801dfc2e-0f10-325b-ab1a-c526b4d2c1f4
407,54,2017-12-18T17:19:50+01:00,00:02:03:00,Stewart Copeland,Rumble fish : Motorboy's fate,Rumble fish (film),1983-01-01,,Musique de film,Stewart Copeland;Mel Martin;Stan Friedman;Buel Neidlinger;Divers,Synthétiseur;Saxophone;Trompette;Contrebasse,,,http://data.doremus.org/artist/d4842de0-03e1-38e3-bed8-8f14ec8ff2b9
407,55,2017-12-18T17:21:53+01:00,00:01:21:00,Stewart Copeland;Michael Thompson,Very bad things : Night drive,BOF / The Stewart Copeland anthology,2007-01-01,,Musique de film,Stewart Copeland,,,,
407,57,2017-12-18T17:23:17+01:00,00:02:12:00,Lalo Schifrin,Magnum force : Main title,BOF / Magnum force / Schifrin,1973-01-01,,Musique de film,Lalo Schifrin,Chef d'orchestre,,,http://data.doremus.org/artist/37cf105f-3435-36bf-8932-778998c8aa4a
407,58,2017-12-18T17:25:29+01:00,00:04:35:00,Francois De Roubaix,Le saut de l'ange : Les anges,BOF / Le saut de l'ange,2016-01-01,,Musique de film,,,,,http://data.doremus.org/artist/45d40e2a-bd4a-3829-b0c7-8cd44417e1d0
407,59,2017-12-18T17:30:04+01:00,00:04:11:00,Vladimir Cosma,Le Prix du danger : Fugues,BOF / La 7ème Cible / Le Prix du Danger / Dupont Lajoie,1983-01-01,,Musique de film,Vladimir Cosma,Chef d'orchestre,,,http://data.doremus.org/artist/d6308077-4dd3-3dde-ae94-2bf599be69bf
407,60,2017-12-18T17:34:15+01:00,00:02:28:00,Jurgen Knieper,Après la guerre : La fugue,B.O.F.Après la Guerre,1989-01-01,,Musique de film,Jurgen Knieper,Chef d'orchestre,,,http://data.doremus.org/artist/a21f375a-cce3-3794-93ed-68a47224b470
