channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
401,3,2018-01-08T00:00:06+01:00,00:01:10:00,Bernhard Henrik Crusell,Introduction thème et variations sur un air suédois op 12 : Introduction - pour clarinette et orchestre à vent,Nordic concertos,,,Musique symphonique,Orchestre Symphonique A Vent D'Ostgota;Martin Frost;Arie Van Beek,Clarinette;Chef d'orchestre,http://data.doremus.org/expression/08eeb10d-b067-3edf-8b4b-a1bacc984532,0.95,http://data.doremus.org/artist/39175a03-2f9a-3bb6-b7bc-74c04a77adcc
401,4,2018-01-08T00:01:16+01:00,00:01:04:00,Bernhard Henrik Crusell,Introduction thème et variations sur un air suédois op 12 : Thème - pour clarinette et orchestre à vent,Nordic concertos,,,Musique symphonique,Orchestre Symphonique A Vent D'Ostgota;Martin Frost;Arie Van Beek,Clarinette;Chef d'orchestre,http://data.doremus.org/expression/08eeb10d-b067-3edf-8b4b-a1bacc984532,0.95,http://data.doremus.org/artist/39175a03-2f9a-3bb6-b7bc-74c04a77adcc
401,5,2018-01-08T00:02:20+01:00,00:01:11:00,Bernhard Henrik Crusell,Introduction thème et variations sur un air suédois op 12 : Variation III - pour clarinette et orchestre à vent,Nordic concertos,,,Musique symphonique,Orchestre Symphonique A Vent D'Ostgota;Martin Frost;Arie Van Beek,Clarinette;Chef d'orchestre,http://data.doremus.org/expression/08eeb10d-b067-3edf-8b4b-a1bacc984532,0.95,http://data.doremus.org/artist/39175a03-2f9a-3bb6-b7bc-74c04a77adcc
401,6,2018-01-08T00:03:31+01:00,00:04:39:00,Johannes Brahms,Quintette en si min op 115 : Andantino - Presto non assai ma con sentimento - version pour clarinette et quatuor à cordes,Johannes Brahms : Oeuvres avec clarinette,2014-01-01,,Musique de chambre,Martin Frost;Janine Jansen;Boris Brovtsyn;Maxim Rysanov;Torleif Thedeen,Clarinette;Violon;Violon;Alto (instrument);Violoncelle,http://data.doremus.org/expression/c3c5c137-cd8e-3bde-a7bd-50fb6ef66bf2,0.99,http://data.doremus.org/artist/f9a2ac39-a62d-3be2-8abb-e564de0ec96d
401,7,2018-01-08T00:08:10+01:00,00:05:41:00,Carl Maria Von Weber,Concerto n°1 en fa min op 73 : Rondo : Allegretto / Pour clarinette et orchestre,Carl Maria von Weber : Oeuvres symphoniques,2006-01-01,,Musique symphonique,Martin Frost;Tapiola Sinfonietta;Jean Jacques Kantorow,Clarinette;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/ebfc36e1-7516-3d76-a585-075deb232fce,0.99,http://data.doremus.org/artist/8000025a-e885-3177-99b3-300707faaad7
401,8,2018-01-08T00:13:51+01:00,00:03:40:00,Joseph Haydn,Larking with Haydn/Quatuor à cordes n°53 en Ré Maj op 64 n°5 HOB III : 63 : Vivace - réduction pour piano,Joseph Haydn : Oeuvres pour piano,2010-01-01,,Musique de chambre,Yevgeny Sudbin,Piano,http://data.doremus.org/expression/7549e14b-648c-3bf8-8f69-980bca7ba239,0.80,http://data.doremus.org/artist/12fa21ff-cfa4-31d6-87d9-a22315193b04
401,9,2018-01-08T00:17:31+01:00,00:05:21:00,Domenico Scarlatti,Sonate en Ré Maj K 119 L 415,Domenico Scarlatti : 18 sonates pour clavier,2015-01-01,,Musique soliste,Yevgeny Sudbin,Piano,http://data.doremus.org/expression/89a0e3b0-bcc4-3bc3-ab11-87fa64f73f07,0.94,http://data.doremus.org/artist/5b6b876b-09ba-3856-8dd6-4208c0591621
401,11,2018-01-08T00:22:56+01:00,00:02:49:00,Domenico Scarlatti,Sonate en ré min K 9 L 413,Domenico Scarlatti : 18 sonates pour clavier,2015-01-01,,Musique soliste,Yevgeny Sudbin,Piano,http://data.doremus.org/expression/4ed6acd0-3321-326b-b49e-b54998c29801,0.94,http://data.doremus.org/artist/5b6b876b-09ba-3856-8dd6-4208c0591621
401,12,2018-01-08T00:25:45+01:00,00:03:12:00,Domenico Scarlatti,Sonate en ré min K 141 L 422,Domenico Scarlatti : 18 sonates pour clavier,2015-01-01,,Musique soliste,Yevgeny Sudbin,Piano,http://data.doremus.org/expression/086da171-15d6-3ffb-a18b-5e682a0c1807,0.94,http://data.doremus.org/artist/5b6b876b-09ba-3856-8dd6-4208c0591621
401,13,2018-01-08T00:28:57+01:00,00:03:50:00,Peter Illich Tchaikovsky,Souvenir d'un lieu cher op 42 : Mélodie en Mi bémol Maj op 42 n°3 - arrangement pour violon et orchestre,Tchaikovsky et Glazounov : Concertos pour violon,2007-01-01,,Musique symphonique,Vadim Gluzman;Orchestre Philharmonique De Bergen;Andrew Litton,Violon;Orchestre;Chef d'orchestre,,,
401,14,2018-01-08T00:32:47+01:00,00:06:17:00,Serge Prokofiev,Concerto n°2 en sol min op 63 : Allegro ben marcato - pour violon et orchestre,Serge Prokofiev : Oeuvres pour violon,2016-01-01,,Musique symphonique,Vadim Gluzman;Orchestre Symphonique D'Etat D'Estonie;Neeme Jarvi,Violon;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/22f6e66d-58c2-31d4-af22-c23e8fc5c383,0.96,http://data.doremus.org/artist/47e04849-715e-3773-a2d1-a2ce2c7d320d
401,15,2018-01-08T00:39:04+01:00,00:02:27:00,Serge Prokofiev,Roméo et Juliette op 64 : Masques (Acte I) - réduction pour violon et piano,Serge Prokofiev : Sonate et autres pièces pour violon et piano,2013-01-01,,Musique de chambre,Vadim Gluzman;Angela Yoffe,Violon;Piano,http://data.doremus.org/expression/709f0103-4477-3304-9dbc-3910631a0794,1.00,http://data.doremus.org/artist/47e04849-715e-3773-a2d1-a2ce2c7d320d
401,17,2018-01-08T00:41:43+01:00,00:03:32:00,Igor Stravinsky,Le rossignol : My vse pred toboy (Acte III) Choeur L'empereur Le rossignol,Igor Stravinsky : Le rossignol,2017-01-01,,Opéra,Mojca Erdmann;Vladimir Vaneev;Orchestre Symphonique Du Wdr De Cologne;Jukka-Pekka Saraste,Soprano Le rossignol;Basse (voix) L'Empereur;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/1b172f76-35bd-3f10-9443-942694ac8533,1.00,http://data.doremus.org/artist/1f1c9292-087a-3ac7-b854-84e213e69dc6
401,18,2018-01-08T00:45:15+01:00,00:02:22:00,Igor Stravinsky,Le rossignol : Akh zdes ya zdes (Acte III) L'empereur Le rossignol,Igor Stravinsky : Le rossignol,2017-01-01,,Opéra,Mojca Erdmann;Vladimir Vaneev;Orchestre Symphonique Du Wdr De Cologne;Jukka-Pekka Saraste,Soprano Le rossignol;Basse (voix) L'Empereur;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/1b172f76-35bd-3f10-9443-942694ac8533,1.00,http://data.doremus.org/artist/1f1c9292-087a-3ac7-b854-84e213e69dc6
401,19,2018-01-08T00:47:37+01:00,00:03:14:00,Igor Stravinsky,Symphonie de psaumes pour choeur mixte : 1. Psaume 39 : Exaudi orationem meam Domine,Mariss Jansons Portrait / CD 5,2017-01-01,,Musique symphonique,Orchestre Symphonique De La Radio Bavaroise;Mariss Jansons;Peter Dijkstra,Orchestre;Chef d'orchestre;Chef de choeur,,,http://data.doremus.org/artist/1f1c9292-087a-3ac7-b854-84e213e69dc6
401,20,2018-01-08T00:50:51+01:00,00:05:22:00,Ottorino Respighi,Vetrate di chiesa P 150 : 3. Il mattutino di Santa Chiara - pour orchestre,Respighi : Vetrate di chiesa Tramonto et Trittico,2017-01-01,,Musique symphonique,Orchestre Philharmonique Royal De Liege;John Neschling,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/70383fec-6b9a-373b-9225-d9c5c52502e9,0.74,http://data.doremus.org/artist/744e54f3-d9b2-3e16-a3a9-86ed41d8ee6d
401,21,2018-01-08T00:56:13+01:00,00:10:15:00,Ottorino Respighi,Adagio et variations P 133 - pour violoncelle et orchestre,André Navarra Prague Recordings : The Complete Supraphon Recordings 1953-1966 / CD 2,,,Musique symphonique,Andre Navarra;Orchestre De La Philharmonie Tcheque De Prague;Karel Ancerl,Violoncelle;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/744e54f3-d9b2-3e16-a3a9-86ed41d8ee6d
401,23,2018-01-08T01:06:31+01:00,00:03:21:00,Richard Wagner,Tannhäuser WWV 70 : Als du in kühnem Sange uns bestrittest (Acte I) Air de Wolfram,Wagner : Michael Volle,2017-01-01,,Opéra,Michael Volle;Orchestre Symphonique De La Radio De Berlin;Georg Fritzsch,Baryton (voix) Wolfram;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/86a6d52d-92ca-3de0-baeb-5ed97dffaf45,1.00,http://data.doremus.org/artist/34943da5-d068-3ada-bd4d-3db0c66c8a7d
401,24,2018-01-08T01:09:52+01:00,00:06:22:00,Johannes Brahms,Sonate pour violoncelle et piano n°2 en Fa Maj op 99 : 2. Adagio affettuoso,Johannes Brahms : Intégrale des 9 sonates,,,Musique de chambre,Xenia Jankovic;Silke Avenhaus,Violoncelle;Piano,http://data.doremus.org/expression/fe4fe6f3-bf06-3e4e-a717-2b26d9325c7a,0.99,http://data.doremus.org/artist/f9a2ac39-a62d-3be2-8abb-e564de0ec96d
401,25,2018-01-08T01:16:14+01:00,00:01:27:00,Johannes Brahms,Liebeslieder-Walzer : Wenn so lind dein Auge mir op 52 n°8,Song of Destiny,2017-01-01,,Musique chorale et vocale,Orchestre Symphonique De Gavle;Jaime Martin,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/f9a2ac39-a62d-3be2-8abb-e564de0ec96d
401,26,2018-01-08T01:17:41+01:00,00:02:30:00,Johannes Brahms,Liebeslieder-Walzer : Am Donaustrande op 52 n°9,Song of Destiny,2017-01-01,,Musique chorale et vocale,Orchestre Symphonique De Gavle;Jaime Martin,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/f9a2ac39-a62d-3be2-8abb-e564de0ec96d
401,28,2018-01-08T01:20:14+01:00,00:05:01:00,Franz Schubert,Im Frühling op 101 n°1 D 882 - pour baryton et piano,Paul Armin Edelmann : The Schubert Album,2018-01-01,,Mélodie & Lied,Paul Armin Edelmann;Charles Spencer,Baryton (voix);Piano,http://data.doremus.org/expression/593cb4b9-0264-32db-a419-b11f90d434d7,1.00,http://data.doremus.org/artist/03954109-0253-35d6-a70e-89ab27dea09c
