channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score
407,3,2017-05-22T00:00:04+02:00,00:03:16:00,Eric Demarsan,Théme de Gerbier,Bof / L'armee des ombres,1969-01-01,,Musique de film,Non Identifie,Orchestre,,
407,4,2017-05-22T00:03:20+02:00,00:01:41:00,Eric Demarsan,20 octobre 1942,Bof / L'armee des ombres,1969-01-01,,Musique de film,Non Identifie,Orchestre,,
407,5,2017-05-22T00:05:01+02:00,00:03:49:00,Morton Gould,Spirituals - pour orchestre,Bof / L'armee des ombres,1969-01-01,,Musique de film,Non Identifie,Orchestre,,
407,6,2017-05-22T00:08:50+02:00,00:04:00:00,Philippe Sarde,Lucie Aubrac (Thème),Bof / Lucie aubrac,1997-01-01,,Musique de film,Keith Harvey;Andrew Marriner;Howard Schelley;Philippe Sarde,Violoncelle;Clarinette;Piano;Chef d'orchestre,,
407,7,2017-05-22T00:12:50+02:00,00:03:19:00,Antoine Duhamel,Dix-huit heures à bicyclette,Bof / Laissez-passer,2002-01-01,,Musique de film,Leonardo Gasparini,Chef d'orchestre,,
407,8,2017-05-22T00:16:09+02:00,00:02:48:00,Antoine Duhamel,Un peu d'amour un peu d'espoir par Marie-José,Bof / Laissez-passer,2002-01-01,,Musique de film,Leonardo Gasparini,Chef d'orchestre,,
407,9,2017-05-22T00:18:57+02:00,00:00:56:00,Anne Dudley,Ich bin die fesche Lola (live),BOF / Black book,2006-01-01,,Musique de film,Carice Van Houten;Anne Dudley,Chef d'orchestre,,
407,11,2017-05-22T00:19:57+02:00,00:03:01:00,Anne Dudley,Sleeping with the enemy,BOF / Black book,2006-01-01,,Musique de film,Carice Van Houten;Anne Dudley,Chef d'orchestre,,
407,12,2017-05-22T00:22:58+02:00,00:02:20:00,Maurice Jarre,Le train : Main title,BOF / Le pont de Remagen / Le train,2007-01-01,,Musique de film,,,,
407,13,2017-05-22T00:25:18+02:00,00:03:44:00,Francois De Roubaix,Vieux Fusil: Vieux fusil 1944,Ho/Les caids/Les grandes gueules/Le vieux fusil,1965-01-01,,Musique de film,Francois De Roubaix,,,
407,14,2017-05-22T00:29:02+02:00,00:02:44:00,Francois De Roubaix,Vieux Fusil: Radio retro,Ho/Les caids/Les grandes gueules/Le vieux fusil,1965-01-01,,Musique de film,Francois De Roubaix,,,
407,15,2017-05-22T00:31:46+02:00,00:05:23:00,Francois De Roubaix,Vieux Fusil: Clara 1939,Ho/Les caids/Les grandes gueules/Le vieux fusil,1965-01-01,,Musique de film,Francois De Roubaix,,,
407,16,2017-05-22T00:37:09+02:00,00:03:14:00,Django Reinhardt,Lacombe Lucien : Musique (générique début),Musiques de films de Louis malle,1997-01-01,,Musique de film,,,,
407,17,2017-05-22T00:40:23+02:00,00:02:59:00,Django Reinhardt,Lacombe Lucien : Dialogues ambiances et musique,Musiques de films de Louis malle,1997-01-01,,Musique de film,,,,
407,19,2017-05-22T00:43:25+02:00,00:01:07:00,Michel Legrand,La vie de château (1965) - Le chant des oiseaux,Film / Michel Legrand & Jean-paul rappeneau,1995-01-01,,Musique de film,Michel Legrand,Chef d'orchestre,,
407,20,2017-05-22T00:44:32+02:00,00:02:19:00,Gabriel Yared,Route dangereuse,Bof / Bon voyage,2003-01-01,,Musique de film,Rolf Wilson;Sue Bohling;Nicholas Bucknall;Simon Chamberlain;Divers;Harry Rabinowitz,Violon;Cor anglais;Clarinette;Piano;Orchestre;Chef d'orchestre,,
407,21,2017-05-22T00:46:51+02:00,00:02:53:00,Gabriel Yared,Bon voyage,Bof / Bon voyage,2003-01-01,,Musique de film,Rolf Wilson;Sue Bohling;Nicholas Bucknall;Simon Chamberlain;Divers;Harry Rabinowitz,Violon;Cor anglais;Clarinette;Piano;Orchestre;Chef d'orchestre,,
407,22,2017-05-22T00:49:44+02:00,00:01:55:00,Dimitri Tiomkin;Paul Francis Webster,The green leaves of summer,BOF / Inglourious basterds,2009-01-01,,Musique de film,Nick Perito,,,
