channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score
405,3,2017-05-22T00:00:06+02:00,00:03:34:00,,The river,Always let me go,2002-01-01,,Jazz,Keith Jarrett;Gary Peacock;Jack Dejohnette,Piano;Contrebasse;Batterie,,
405,4,2017-05-22T00:03:40+02:00,00:03:28:00,,Moon river,A night in the life,1996-01-01,,Jazz,Eden Atwood;Jeremy Kahn;Larry Kohut;Joel Spencer,Voix;Piano;Contrebasse;Batterie,,
405,5,2017-05-22T00:07:08+02:00,00:04:18:00,,Cross river,Again and again,1990-01-01,,Jazz,Oliver Lake;John Hicks;Reggie Workman;Pheeroan Aklaff,Saxophone;Piano;Basse;Batterie,,
405,6,2017-05-22T00:11:26+02:00,00:04:09:00,,Ol' man river,The Original Bill Holman Big Band / Complete recordings,,,Jazz,Bill Holman Big Band,,,
405,8,2017-05-22T00:15:38+02:00,00:09:48:00,,African river,African river,1989-01-01,,Jazz,Abdullah Ibrahim;Ekaya,,,
405,9,2017-05-22T00:25:26+02:00,00:03:32:00,,Deep river,Alles was ihr tut,,,Jazz,Dieter Falk,,,
405,10,2017-05-22T00:28:58+02:00,00:04:30:00,,River man,A la recherche du roi frippé,2012-01-01,,Jazz,Mederic Collignon & Le Jus De Bocse,,,
405,12,2017-05-22T00:33:32+02:00,00:08:20:00,,When my dream boat comes home,The more I see you,1995-01-01,,Jazz,Oscar Peterson,Piano,,
405,13,2017-05-22T00:41:52+02:00,00:02:56:00,,(I'd like to get you on a) slow boat to China,Dear ella,1997-01-01,,Jazz,Dee Dee Bridgewater,,,
405,14,2017-05-22T00:44:48+02:00,00:06:07:00,,Misty,Dreamboat,1990-01-01,,Jazz,Manhattan Projects;Roy Hargrove;Kenny Garrett;Donald Brown;Ira Coleman;Carl Allen,Trompette;Saxophone;Piano;Basse;Batterie,,
405,16,2017-05-22T00:51:04+02:00,00:03:02:00,,Limbo boat,Rahsaan / Vol.3,1990-01-01,,Jazz,Rahsaan Roland Kirk,,,
405,17,2017-05-22T00:54:06+02:00,00:06:14:00,Al Cohn,The wailing boat,Al and Zoot,,,Jazz,Al Cohn Quintet;Al Cohn;Zoot Sims;Mose Allison;Teddy Kotick;Nick Stabulus,Saxophone ténor;Saxophone ténor;Piano;Basse;Batterie,,
405,18,2017-05-22T01:00:20+02:00,00:02:15:00,,There's a boat dat's leavin' soon for New York,The complete 1947-1958,,,Jazz,Ernestine Anderson;William K. Hadnott;Willard Macdaniel;Jack Trainor;Oscar Bradley;Hubert M. Myers,Basse;Piano;Trompette;Percussions;Saxophone,,
