channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
401,3,2017-06-19T00:00:06+02:00,00:03:13:00,Ottorino Respighi,Danses et airs antiques pour luth : Suite nº3 : Siciliana - arrangement pour orchestre,Respighi / Airs danses antiques /,,,Musique symphonique,Orchestre De Chambre Orpheus,Orchestre,http://data.doremus.org/expression/6b02cf29-60b4-382e-b608-6a3e6828b539,0.76,http://data.doremus.org/artist/744e54f3-d9b2-3e16-a3a9-86ed41d8ee6d
401,4,2017-06-19T00:03:19+02:00,00:05:28:00,Eduard Tubin,Suite de danses estoniennes : Longue anglaise / Pikk ingliska,Double bass concerto valse triste ballade for violin,1984-01-01,,Musique symphonique,Orchestre Symphonique De Goteborg;Neeme Jarvi,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/28bd258f-87ee-311e-80ea-9b5370adb859
401,5,2017-06-19T00:08:47+02:00,00:03:53:00,Edward Elgar,Mina - pour orchestre,Edward Elgar : Symphonie n°2 et autres oeuvres,2017-01-01,,Musique symphonique,Orchestre Philharmonique Royal De Liverpool;Vasily Petrenko,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/587fe034-c58f-3def-934c-0e0ac572ae06
401,6,2017-06-19T00:12:40+02:00,00:01:32:00,Ralph Vaughan-Williams,6 little pieces : Valse lente - pour piano,Ralph Vaughan Williams : Musique pour piano,2017-01-01,,Musique de chambre,Mark Bebbington,Piano,,,http://data.doremus.org/artist/71ec171d-965b-3967-b87b-262c514c01bd
401,7,2017-06-19T00:14:12+02:00,00:07:56:00,Emile Waldteufel,Les patineurs op 183,Concert du nouvel an 2017,2017-01-01,,Musique symphonique,Orchestre Philharmonique De Vienne;Gustavo Dudamel,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/0d6cd602-9a6b-3af3-916b-a7bd38c956af,1.00,http://data.doremus.org/artist/1465b4e6-0372-36c8-93d1-1c04929225ec
401,9,2017-06-19T00:22:17+02:00,00:01:43:00,Richard Strauss,Le bourgeois gentilhomme op 60 TrV 228c : Menuet de Jourdain - suite pour orchestre,Richard Strauss : Ariane à Naxos et Le bourgeois gentilhomme,2017-01-01,,Musique symphonique,Orchestre Philharmonique De Buffalo;Joann Falletta,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/2a2c7612-d0b7-3ea4-bae7-410676548b41,1.00,http://data.doremus.org/artist/157157ef-1cb3-3fc7-a4f7-2531989fc942
401,10,2017-06-19T00:24:00+02:00,00:02:36:00,Emmanuel Chabrier,Valses romantiques (3) transcription pour grand orchestre : N°1 : Tres vite et impetueusement,Emmanuel Chabrier : Musique orchestrale et extraits lyriques,1990-01-01,,Musique symphonique,Orchestre Du Capitole De Toulouse;Michel Plasson,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/07329b1f-83f2-39aa-9c5c-1c377038f353,0.90,http://data.doremus.org/artist/3c178aab-26f9-359b-bcd3-36f5ff6e39e0
401,11,2017-06-19T00:26:36+02:00,00:06:37:00,Peter Illich Tchaikovsky,Concerto pour violon et orchestre en Ré Maj op 35 : 2. Canzonetta,Erick Friedman : The complete RCA Album collection / CD 8,2017-01-01,,Musique symphonique,Erick Friedman;Orchestre Symphonique De Londres;Seiji Ozawa,Violon;Orchestre;Chef d'orchestre,,,
401,12,2017-06-19T00:33:13+02:00,00:01:37:00,Serge Prokofiev,Symphonie n°1 en Ré Maj op 25 : 3. Gavotte,Moussorgski : Tableaux d'une exposition et Prokofiev : Symphonie classique,2017-01-01,,Musique symphonique,Orchestre Du Theatre National De L'Opera De Paris;Philippe Jordan,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/1a3560b3-c1be-311c-be8a-81dc95d36001,0.97,http://data.doremus.org/artist/47e04849-715e-3773-a2d1-a2ce2c7d320d
401,13,2017-06-19T00:34:50+02:00,00:04:08:00,Serge Prokofiev,Symphonie n°1 en Ré Maj op 25 : 4. Finale,Moussorgski : Tableaux d'une exposition et Prokofiev : Symphonie classique,2017-01-01,,Musique symphonique,Orchestre Du Theatre National De L'Opera De Paris;Philippe Jordan,Orchestre;Chef d'orchestre,http://data.doremus.org/expression/1a3560b3-c1be-311c-be8a-81dc95d36001,0.97,http://data.doremus.org/artist/47e04849-715e-3773-a2d1-a2ce2c7d320d
401,14,2017-06-19T00:38:58+02:00,00:03:57:00,Georg Friedrich Haendel,Suite n°4 en ré min HWV 437 : Sarabande,Moments baroques au piano,2016-01-01,,Musique soliste,Luc Beausejour,Piano,http://data.doremus.org/expression/6281f94a-d9c5-3dd4-9bd1-a9f58bbc4294,0.90,http://data.doremus.org/artist/35ddad40-c793-312a-86ec-6a1310c030a1
