channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score
406,3,2017-05-22T00:00:08+02:00,00:04:31:00,Pascal Dusapin,Quatuor VI Hinterland : 1. 1er mouvement - hapax pour quatuor à cordes et orchestre,Pascal Dusapin : Quatuor VI et Quatuor VII,2017-01-01,,Musique symphonique,Quatuor Arditti;Irvine Arditti;Ashot Sarkissjan;Ralf Ehlers;Lucas Fels;Orchestre Philharmonique De Radio France;Pascal Rophe,Violon;Violon;Alto (instrument);Violoncelle;Orchestre;Chef d'orchestre,,
406,4,2017-05-22T00:04:39+02:00,00:05:03:00,Pascal Dusapin,Quatuor VI Hinterland : 2. Première tentative d'épuisement - hapax pour quatuor à cordes et orchestre,Pascal Dusapin : Quatuor VI et Quatuor VII,2017-01-01,,Musique symphonique,Quatuor Arditti;Irvine Arditti;Ashot Sarkissjan;Ralf Ehlers;Lucas Fels;Orchestre Philharmonique De Radio France;Pascal Rophe,Violon;Violon;Alto (instrument);Violoncelle;Orchestre;Chef d'orchestre,,
406,5,2017-05-22T00:09:42+02:00,00:03:59:00,Pascal Dusapin,Quatuor VI Hinterland : 3. Deuxième tentative d'épuisement - hapax pour quatuor à cordes et orchestre,Pascal Dusapin : Quatuor VI et Quatuor VII,2017-01-01,,Musique symphonique,Quatuor Arditti;Irvine Arditti;Ashot Sarkissjan;Ralf Ehlers;Lucas Fels;Orchestre Philharmonique De Radio France;Pascal Rophe,Violon;Violon;Alto (instrument);Violoncelle;Orchestre;Chef d'orchestre,,
406,6,2017-05-22T00:13:41+02:00,00:01:44:00,Pascal Dusapin,Quatuor VI Hinterland : 4. Troisième tentative d'épuisement - hapax pour quatuor à cordes et orchestre,Pascal Dusapin : Quatuor VI et Quatuor VII,2017-01-01,,Musique symphonique,Quatuor Arditti;Irvine Arditti;Ashot Sarkissjan;Ralf Ehlers;Lucas Fels;Orchestre Philharmonique De Radio France;Pascal Rophe,Violon;Violon;Alto (instrument);Violoncelle;Orchestre;Chef d'orchestre,,
406,7,2017-05-22T00:15:25+02:00,00:05:21:00,Pascal Dusapin,Quatuor VI Hinterland : 5. Quatrième tentative d'épuisement - hapax pour quatuor à cordes et orchestre,Pascal Dusapin : Quatuor VI et Quatuor VII,2017-01-01,,Musique symphonique,Quatuor Arditti;Irvine Arditti;Ashot Sarkissjan;Ralf Ehlers;Lucas Fels;Orchestre Philharmonique De Radio France;Pascal Rophe,Violon;Violon;Alto (instrument);Violoncelle;Orchestre;Chef d'orchestre,,
406,9,2017-05-22T00:20:52+02:00,00:11:29:00,Edgard Varese,Intégrales - pour 11 instruments à vent et percussions,New York,2017-01-01,,Musique contemporaine,Ensemble Intercontemporain;Matthias Pintscher,Chef d'orchestre,,
406,11,2017-05-22T00:32:30+02:00,00:09:26:00,Luca Antignani,Auzulejos - pour harpe,Luca Antignani : Azulejos,,,Musique de chambre,Aurelie Bouchard,Harpe,,
406,12,2017-05-22T00:41:56+02:00,00:05:09:00,Iannis Xenakis,Rebonds : Partie b - pour percussions,Iannis Xenakis : Psappha Rebonds et Okho,,,Musique contemporaine,Pedro Carneiro,Percussions,,
406,13,2017-05-22T00:47:05+02:00,00:06:25:00,Iannis Xenakis,Rebonds : Partie a - pour percussions,Iannis Xenakis : Psappha Rebonds et Okho,,,Musique contemporaine,Pedro Carneiro,Percussions,,
406,15,2017-05-22T00:53:53+02:00,00:04:44:00,Pascal Dusapin,Imago (Pièces sur de faux chants populaires) : 1ère pièce - pour violoncelle,Pascal Dusapin : Item,2017-01-01,,Musique de chambre,Arne Deforce,Violoncelle,,
406,16,2017-05-22T00:58:37+02:00,00:03:44:00,Pascal Dusapin,Imago (Pièces sur de faux chants populaires) : 2ème pièce - pour violoncelle,Pascal Dusapin : Item,2017-01-01,,Musique de chambre,Arne Deforce,Violoncelle,,
406,17,2017-05-22T01:02:21+02:00,00:05:38:00,Pascal Dusapin,Imago (Pièces sur de faux chants populaires) : 3ème pièce - pour violoncelle,Pascal Dusapin : Item,2017-01-01,,Musique de chambre,Arne Deforce,Violoncelle,,
406,19,2017-05-22T01:08:10+02:00,00:08:44:00,Guillaume Connesson,Aleph,Oeuvres pour orchestre,2010-01-01,,Musique symphonique,Orchestre National Royal D'Ecosse;Stephane Aleph,Orchestre;Chef d'orchestre,,
406,20,2017-05-22T01:16:54+02:00,00:09:38:00,Laurent Lefrancois,Le nouveau balnéaire - version pour piano à 4 mains,Laurent Lefrançois : Musique de chambre,,,Musique de chambre,Cyril Guillotin;Nima Sarkechik,Piano;Piano,,
406,22,2017-05-22T01:26:40+02:00,00:17:26:00,William Schuman,To thee old causes - évocation pour hautbois cuivres timbales piano et cordes,New York Philharmonic / 175th Anniversary Edition / CD 51,2017-01-01,,Musique symphonique,Harold Gomberg;Orchestre Philharmonique De New York;Leonard Bernstein,Hautbois;Orchestre;Chef d'orchestre,,
406,24,2017-05-22T01:44:12+02:00,00:03:30:00,George Crumb,Celestial mechanics : Alpha centauri,Kosmos,2007-01-01,,Musique de chambre,Andreas Grau;Gotz Schumacher;Duo Grauschumacher,Piano;Piano,,
406,25,2017-05-22T01:47:42+02:00,00:03:48:00,George Crumb,Celestial mechanics : Beta cygni,Kosmos,2007-01-01,,Musique de chambre,Andreas Grau;Gotz Schumacher;Duo Grauschumacher,Piano;Piano,,
