channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score
402,3,2017-02-13T00:00:09+01:00,00:04:30:00,Leonard Bernstein,Overture,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,4,2017-02-13T00:04:39+01:00,00:01:00:00,Leonard Bernstein,Westphalia chorale,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,5,2017-02-13T00:05:39+01:00,00:02:59:00,Leonard Bernstein,Life is happiness indeed,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,6,2017-02-13T00:08:38+01:00,00:02:42:00,Leonard Bernstein,The best of all possible worlds,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,7,2017-02-13T00:11:20+01:00,00:00:55:00,Leonard Bernstein,Universal good,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,8,2017-02-13T00:12:15+01:00,00:02:04:00,Leonard Bernstein,Oh happy we,Bernstein / Candide / Te kanawa,1991-01-01,,Opéra,Jerry Hadley;June Anderson;Adolph Green;Christa Ludwig;Nicolai Gedda;Della Jones;Kurt Ollmann;Clive Bayley;Neil Jenkins;Lindsay Benson;Richard Suart;John Treleaven;Orchestre Symphonique De Londres;Leonard Bernstein,Ténor;Soprano;Ténor;Mezzo-soprano;Ténor;Mezzo-soprano;Baryton (voix);Basse (voix);Ténor;Baryton (voix);Baryton (voix);Ténor;Orchestre;Chef d'orchestre,,
402,10,2017-02-13T00:14:22+01:00,00:11:13:00,Lourival Silvestre,Illusion sonore - pour flûte traversière guitare acoustique et violon,Guitare plus : Argentine Brésil Colombie / Vol. 33,1999-01-01,,Musique de chambre,Ensemble Confluences;Benoit Fromanger;Delia Estrada;Frederic Laroche,Flûte traversière;Guitare;Violon,,
402,11,2017-02-13T00:25:35+01:00,00:03:15:00,Basil Poledouris,Theology ~ Civilization,Conan le barbare,1982-01-01,,Musique de film,Orchestre De L'Academie Sainte Cecile De Rome;Basil Poledouris,Orchestre;Chef d'orchestre,,
402,12,2017-02-13T00:28:50+01:00,00:04:16:00,Basil Poledouris,The Orgy,Conan le barbare,1982-01-01,,Musique de film,Orchestre De L'Academie Sainte Cecile De Rome;Basil Poledouris,Orchestre;Chef d'orchestre,,
402,14,2017-02-13T00:33:12+01:00,00:05:21:00,Juan El Encina,Levanta pascual - villancico pour voix d'hommes et ensemble instrumental,Isabel I reina de Castilla,2004-01-01,,Musique ancienne,Capella Reial De Catalogne;Hesperion Xxi;Jordi Savall,Orchestre;Chef d'orchestre,,
402,15,2017-02-13T00:38:33+01:00,00:04:59:00,Agustin Lara,Granada,Fritz Wunderlich : Complete studio recordings on DG / CD 28,1965-01-01,,Mélodie & Lied,Fritz Wunderlich;Orchestre Symphonique Kurt Graunke;Hans Carste,Ténor;Orchestre;Chef d'orchestre,,
402,17,2017-02-13T00:43:45+01:00,00:11:53:00,Anton Dvorak,Scherzo capriccioso en Ré bémol Maj op 66 B 131,Anton Dvorak : Intégrale des symphonies dirigée par Istvan Kertesz,2016-01-01,,Musique symphonique,Orchestre Symphonique De Londres;Istvan Kertesz,Orchestre;Chef d'orchestre,,
402,19,2017-02-13T00:55:41+01:00,00:05:30:00,Ludwig Van Beethoven,Sonate n°27 en mi min op 90 : Mit lebhaftigkeit und durchaus mit empfindung und ausdruck,BEETHOVEN : 3 SONATES POUR PIANO : volume 7,2008-01-01,,Musique de chambre,Andras Schiff,Piano,,
402,20,2017-02-13T01:01:11+01:00,00:08:06:00,Ludwig Van Beethoven,Sonate n°27 en mi min op 90 : Nicht zu geschwind und sehr singbar vorgetragen,BEETHOVEN : 3 SONATES POUR PIANO : volume 7,2008-01-01,,Musique de chambre,Andras Schiff,Piano,,
402,21,2017-02-13T01:09:17+01:00,00:02:40:00,Jean Sebastien Bach,Sonate n°2 en La Maj BWV 1015 : Dolce - pour violon et clavecin,Johann Sebastian Bach : Sei suonate a cembalo certato e violino solo,2017-01-01,,Musique de chambre,Chiara Zanisi;Giulia Nuti,Violon;Clavecin,,
402,22,2017-02-13T01:11:57+01:00,00:03:06:00,Jean Sebastien Bach,Sonate n°2 en La Maj BWV 1015 : Allegro - pour violon et clavecin,Johann Sebastian Bach : Sei suonate a cembalo certato e violino solo,2017-01-01,,Musique de chambre,Chiara Zanisi;Giulia Nuti,Violon;Clavecin,,
