channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,3,2017-08-21T00:00:04+02:00,00:03:33:00,David Shire,The conversation : Theme,Bof / The conversation,2001-01-01,,Musique de film,David Shire,Piano,,,http://data.doremus.org/artist/ed9b7bcc-71f3-3ed8-a855-5a5dfe64a575
407,4,2017-08-21T00:03:37+02:00,00:03:47:00,Piero Piccioni,Camille 2000 : Pearls,BOF / Camille 2000,2016-01-01,,Musique de film,Piero Piccioni,Chef d'orchestre,,,
407,5,2017-08-21T00:07:24+02:00,00:03:33:00,Claude Bolling,On ne meurt que deux fois : On ne meurt que deux fois - Générique,BOF / On ne meurt que deux fois,1985-01-01,,Musique de film,Pierre Gossey,Saxophone,,,http://data.doremus.org/artist/2b0eaa38-b663-3530-b9bb-434d9cb6d8d9
407,6,2017-08-21T00:10:57+02:00,00:02:33:00,Alex Beaupain,Les malheurs de Sophie : L'accident,BOF / Les malheurs de Sophie,,,Musique de film,,,,,
407,7,2017-08-21T00:13:30+02:00,00:04:56:00,Carter Burwell,Anomalisa : My name is Lawrence Gill,BOF / Anomalisa,2016-01-01,,Musique de film,,,,,
407,8,2017-08-21T00:18:26+02:00,00:02:19:00,,Drive in,Bof / Eternal sunshine of the spotless mind,2004-01-01,,Musique de film,Jon Brion,,,,
407,10,2017-08-21T00:20:48+02:00,00:02:12:00,Dejan Sparavalo,The waterfall,B.O.F. / La vie est un miracle,2004-01-01,,Musique de film,The No Smoking Orchestra,,,,http://data.doremus.org/artist/9c9e7df7-3627-32aa-ba1e-ce3f32321212
407,11,2017-08-21T00:23:00+02:00,00:04:15:00,Dejan Sparavalo,When life was a miracle,B.O.F. / La vie est un miracle,2004-01-01,,Musique de film,The No Smoking Orchestra,,,,http://data.doremus.org/artist/9c9e7df7-3627-32aa-ba1e-ce3f32321212
407,12,2017-08-21T00:27:15+02:00,00:05:33:00,Ludwig Goransson,Everything everything : Living in a bubble,BOF / Everything everything,2017-01-01,,Musique de film,,,,,
407,13,2017-08-21T00:32:48+02:00,00:02:22:00,Marco Beltrami,Le septième fils (Seventh son): Master sergei,BOF/ Le septième fils (Seventh son),2015-01-01,,Musique de film,,,,,
407,14,2017-08-21T00:35:10+02:00,00:02:08:00,Michael Giacchino,Jupiter : le destin de l'univers : I hate my life,BOF / Jupiter : le destin de l'univers (Jupiter ascending),2015-01-01,,Musique de film,The Hollywood Studio Symphony;Robert Ziegel;Michael Giacchino,Orchestre;Chef d'orchestre;Chef d'orchestre,,,
407,15,2017-08-21T00:37:18+02:00,00:03:01:00,John Williams,The blue and grey,B.O.F./ Lincoln,2012-01-01,,Musique de film,The Cicago Symphony Orchestra;John Williams,Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/8b49e5af-83dc-381a-84a1-f5a0dc332b72
407,17,2017-08-21T00:40:23+02:00,00:02:42:00,Erwann Kermorvant,Vengeance,Bof/36 quai des orfèvres,2004-01-01,,Musique de film,,,,,
407,18,2017-08-21T00:43:05+02:00,00:03:45:00,Zombie Zombie,Irréprochable : Folie furieuse pt. 1 (Final),BOF / Irréprochable,2016-01-01,,Musique de film,,,,,
407,19,2017-08-21T00:46:50+02:00,00:02:50:00,Zombie Zombie,Irréprochable : Retour au calme (Bonus Track),BOF / Irréprochable,2016-01-01,,Musique de film,,,,,
